intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,distance
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,Non-GRB,,00030802001,10.572293777384914,41.29277036419,cube,,2,53979.7300231,53979.8756944,2423.46023647015,159300000000.0,337000000000.0,,nan,,,,POLYGON 10.325359 41.341939 10.426285 41.226093 10.53333 41.112672 10.533599017136071 41.1128092009615 10.544625 41.101101 10.690207 41.174949 10.840425 41.259062 10.839805740832791 41.259761916122841 10.841545 41.260733 10.747411 41.36731 10.629161 41.490418 10.627166153970496 41.4893962394296 10.616509 41.500463 10.48348 41.43211 10.325359 41.341939 10.325359 41.341939,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030802001uw2[3]&size=ALL&output_size=2798,http://archive.stsci.edu/missions/swift_uvot/00030802/00030802001/sw00030802001uw2_sk.img,PUBLIC,,5885.0,1519624,0.0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,Non-GRB,,00030804001,10.571044520117596,41.2755437736965,cube,,2,53989.7032292,53989.7802778,1702.5575261477488,159300000000.0,337000000000.0,,nan,,,,POLYGON 10.324891 41.282599 10.451077 41.17961 10.579642 41.082061 10.582782744378855 41.084297892676013 10.582973 41.084153 10.705065 41.17067 10.841102 41.276549 10.720162 41.373264 10.580997 41.476827 10.577675618573744 41.474437999682323 10.577275 41.474735 10.46054 41.390598 10.324891 41.282599 10.324891 41.282599,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030804001uw2[1]&size=ALL&output_size=2835,http://archive.stsci.edu/missions/swift_uvot/00030804/00030804001/sw00030804001uw2_sk.img,PUBLIC,,5885.0,1516979,0.0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,Non-GRB,,00030804001,10.571044520117596,41.2755437736965,cube,,2,53989.7235185,53989.7330903,813.744936364566,160900000000.0,457000000000.0,,nan,,,,POLYGON 10.323731 41.289525 10.578324 41.088987 10.689476 41.167293 10.836278 41.28167 10.576143 41.481662 10.451598 41.391521 10.323731 41.289525 10.323731 41.289525,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030804001uw1[1]&size=ALL&output_size=1409,http://archive.stsci.edu/missions/swift_uvot/00030804/00030804001/sw00030804001uw1_sk.img,PUBLIC,,5885.0,1516975,0.0
science,SWIFT,,UVOT,,UVM2,UV,Non-GRB,,00030804001,10.571044520117596,41.2755437736965,cube,,2,53989.7133681,53989.7865625,1381.640977287337,167900000000.0,292700000000.0,,nan,,,,POLYGON 10.323027 41.284686 10.449035 41.181839 10.577608 41.084153 10.580942245362996 41.086524349937953 10.581493 41.086105 10.699135 41.169422 10.839441 41.278645 10.714784 41.378151 10.579322 41.478779 10.576008042972102 41.476386648538451 10.575414 41.476827 10.458677 41.392688 10.323027 41.284686 10.323027 41.284686,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030804001um2[2]&size=ALL&output_size=2834,http://archive.stsci.edu/missions/swift_uvot/00030804/00030804001/sw00030804001um2_sk.img,PUBLIC,,5885.0,1521638,0.0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,M31N2006-11a,,00030968001,10.73052281392171,41.2045364682409,cube,,2,54293.8606134,54294.0,3611.293642378023,159300000000.0,337000000000.0,,nan,,,,POLYGON 10.558483 41.345548 10.564742456907281 41.247625367152779 10.565110001882738 41.2222590043137 10.556036 41.07403 10.567258088875967 41.073613011057475 10.567395 41.064116 10.743833 41.065066 10.792852667124626 41.06708685676503 10.920412 41.066754 10.920682022894338 41.072258392905248 10.931763 41.0727 10.931444005346989 41.085014660722848 10.939532 41.08556 10.928556070830794 41.232365169327927 10.934232 41.347292 10.92461250155297 41.347636887473541 10.924458 41.353552 10.919461459646763 41.353509183633122 10.91851 41.366157 10.755747 41.360173 10.656600949912237 41.352865313111408 10.573127 41.352664 10.572754571624962 41.346617608123026 10.558483 41.345548 10.558483 41.345548,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030968001uw2[3]&size=ALL&output_size=1040,http://archive.stsci.edu/missions/swift_uvot/00030968/00030968001/sw00030968001uw2_sk.img,PUBLIC,,5885.0,1538117,0.0
science,SWIFT,,UVOT,,U,OPTICAL,M31N2006-11a,,00030968002,10.70230848114619,41.2018474131723,cube,,2,54294.0566551,54294.2104167,3312.5759405474055,301400000000.0,394200000000.0,,nan,,,,POLYGON 10.524455 41.33449 10.530021 41.195891 10.532803821157737 41.166191367575657 10.530551 41.053912 10.542618064566286 41.053786446082256 10.54277 41.051188 10.605791718447779 41.053108593037962 10.742464 41.051524 10.892991 41.055278 10.893092641375768 41.067677561954845 10.904504 41.068413 10.903962387211585 41.076172583753241 10.904363 41.0762 10.899710976242023 41.137018070800075 10.894297685151644 41.214328921099067 10.895291 41.334721 10.885834284131594 41.334834745322375 10.884935 41.347613 10.883538836288347 41.347567775226636 10.882935 41.355403 10.717226 41.349129 10.524455 41.33449 10.524455 41.33449,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030968002uuu[1]&size=ALL&output_size=1069,http://archive.stsci.edu/missions/swift_uvot/00030968/00030968002/sw00030968002uuu_sk.img,PUBLIC,,5885.0,1538373,0.0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,M31N2006-11a,,00030968004,10.737586371579084,41.1757305993533,cube,,2,54299.8784838,54299.9604167,2778.40431029255,159300000000.0,337000000000.0,,nan,,,,POLYGON 10.549109 41.312736 10.553233 41.034134 10.587974358144972 41.034342356949978 10.589072 41.025551 10.731598193546304 41.035093002712642 10.736615 41.035116 10.917432 41.042505 10.917143824780833 41.052969787896068 10.950713 41.056405 10.912625 41.335915 10.75328 41.324613 10.715699093104654 41.320557626169034 10.549109 41.312736 10.549109 41.312736,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030968004uw2[2]&size=ALL&output_size=1040,http://archive.stsci.edu/missions/swift_uvot/00030968/00030968004/sw00030968004uw2_sk.img,PUBLIC,,5885.0,1538374,0.0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,M31N2007-07c,,00030972001,10.76152027421108,41.2340572340105,cube,,2,54305.1818866,54305.1930556,949.481156620205,159300000000.0,337000000000.0,,nan,,,,POLYGON 10.572584 41.353259 10.5956 41.214687 10.625915 41.077513 10.799439 41.095715 10.985303 41.121999 10.928627 41.399588 10.769869 41.382418 10.572584 41.353259 10.572584 41.353259,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030972001uw2[1]&size=ALL&output_size=1156,http://archive.stsci.edu/missions/swift_uvot/00030972/00030972001/sw00030972001uw2_sk.img,PUBLIC,,5885.0,1538402,0.0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,M31N2007-07c,,00030972002,10.849461175935971,41.2889148090176,cube,,2,54306.5202083,54306.5972222,1525.111973527951,159300000000.0,337000000000.0,,nan,,,,POLYGON 10.649041 41.414395 10.673223 41.273317 10.701664179095104 41.14718030713491 10.702515 41.140787 10.703093278902177 41.1408292201644 10.703582 41.138657 10.764038864682579 41.145262343787934 10.881387 41.153706 11.064798 41.173591 11.06324423775885 41.184280635157471 11.063302 41.184289 11.063108666999298 41.185213173763287 11.024042 41.452827 11.00716137045392 41.451546411379589 11.005041 41.461597 10.839066 41.443016 10.702102624084537 41.422420991626623 10.665439 41.418227 10.665616421034112 41.416904995289833 10.649041 41.414395 10.649041 41.414395,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030972002uw2[1]&size=ALL&output_size=1159,http://archive.stsci.edu/missions/swift_uvot/00030972/00030972002/sw00030972002uw2_sk.img,PUBLIC,,5885.0,1541798,0.0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,M31N2007-07c,,00030972003,10.843550856526974,41.2936966600657,cube,,2,54307.4542361,54307.5319444,1762.401014673268,159300000000.0,337000000000.0,,nan,,,,POLYGON 10.649983 41.414888 10.673111535366482 41.283748231264866 10.685736 41.14429 10.704645576267861 41.145204390598785 10.705976 41.139427 10.798650377989107 41.149703812553177 10.863503 41.152763 11.049116 41.1682 11.047587510780659 41.183276010362107 11.065338 41.185871 11.03115766586988 41.344890337376924 11.020607 41.448251 11.008977585651389 41.447661033429242 11.005621 41.463185 10.843361 41.444613 10.750963241281353 41.430453916809675 10.660515 41.422305 10.661035053132135 41.416596320582165 10.649983 41.414888 10.649983 41.414888,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030972003uw2[1]&size=ALL&output_size=1162,http://archive.stsci.edu/missions/swift_uvot/00030972/00030972003/sw00030972003uw2_sk.img,PUBLIC,,5885.0,1541799,0.0
