pl_name,hostname,pl_orbper,pl_radj,pl_bmassj,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass
WASP-97 b,WASP-97,2.07276,1.14,1.36,0.0,nan,5640.0,1.08,1.18
WASP-98 b,WASP-98,2.96264036,1.144,0.922,nan,1171.0,5473.0,0.74,0.81
WASP-99 b,WASP-99,5.75251,1.02,2.43,0.0,nan,6150.0,1.64,1.21
WASP-100 b,WASP-100,2.84938,1.33,1.26,0.0,nan,6900.0,1.57,0.77
WASP-101 b,WASP-101,3.58572,1.43,0.51,0.0,nan,6380.0,1.31,1.41
CoRoT-25 b,CoRoT-25,4.86069,1.08,0.27,0.0,1330.0,6040.0,1.19,1.09
CoRoT-26 b,CoRoT-26,4.20474,1.26,0.52,0.0,1600.0,5590.0,1.79,1.09
MOA-bin-1L b,MOA-bin-1L,nan,nan,3.7,nan,nan,nan,nan,0.75
HAT-P-44 b,HAT-P-44,4.301219,1.242,0.352,0.044,1108.0,5295.0,0.95,0.94
HAT-P-45 b,HAT-P-45,3.128992,1.426,0.892,0.049,1652.0,6330.0,1.32,1.26
HAT-P-46 b,HAT-P-46,4.463129,1.284,0.493,0.123,1458.0,6120.0,1.4,1.28
HAT-P-44 c,HAT-P-44,872.2,nan,4.0,0.494,nan,5295.0,0.95,0.94
HD 285507 b,HD 285507,6.0881,nan,0.98,0.09,nan,4503.0,0.69,0.82
GU Psc b,GU Psc,nan,1.265,11.3,nan,1050.0,nan,nan,0.33
HATS-5 b,HATS-5,4.763387,0.912,0.237,0.019,1025.0,5304.0,0.87,0.94
bet Cnc b,bet Cnc,605.2,nan,7.8,0.08,nan,4092.1,47.2,1.7
mu Leo b,mu Leo,357.8,nan,2.4,0.09,nan,4538.2,11.4,1.5
bet UMi b,bet UMi,522.3,nan,6.1,0.19,nan,4126.0,38.3,1.4
GJ 687 b,GJ 687,38.142,nan,0.05412,0.17,nan,nan,nan,0.4
Kapteyn c,Kapteyn,121.54,nan,0.022,0.23,nan,3550.0,0.29,0.28
HIP 105854 b,HIP 105854,184.2,nan,8.2,0.02,nan,4780.0,nan,2.1
CoRoT-24 b,CoRoT-24,5.1134,0.33,0.018,0.0,1070.0,4950.0,0.86,0.91
CoRoT-24 c,CoRoT-24,11.759,0.44,0.088,0.0,850.0,4950.0,0.86,0.91
OGLE-2008-BLG-355L b,OGLE-2008-BLG-355L,nan,nan,4.6,nan,nan,nan,nan,0.37
Kepler-419 c,Kepler-419,675.47,nan,7.3,0.184,nan,6430.0,1.74,1.39
HATS-4 b,HATS-4,2.516729,1.02,1.323,0.013,1315.0,5403.0,0.93,1.0
OGLE-2013-BLG-0341L B b,OGLE-2013-BLG-0341L B,nan,nan,0.00522,nan,nan,nan,nan,0.11
XO-2 S b,XO-2 S,18.157,nan,0.26,0.18,nan,5399.0,1.0,0.98
XO-2 S c,XO-2 S,120.8,nan,1.37,0.1528,nan,5399.0,1.02,0.98
HD 150706 b,HD 150706,5894.0,nan,2.71,0.38,nan,5961.0,0.96,1.17
CoRoT-22 b,CoRoT-22,9.75598,0.435,0.038,0.077,885.0,5939.0,1.14,1.1
Kepler-412 b,Kepler-412,1.7208604,1.341,0.941,nan,1850.0,5750.0,1.29,1.17
WASP-117 b,WASP-117,10.02165,1.06,0.3,0.3,nan,6040.0,1.22,1.29
GJ 15 A b,GJ 15 A,11.4407,nan,0.00953,0.094,nan,3607.0,0.38,0.38
WASP-104 b,WASP-104,1.7554137,1.137,1.272,0.0,1516.0,5475.0,0.96,1.08
WASP-106 b,WASP-106,9.28971,1.02,1.62,0.0,nan,6055.0,1.31,0.93
HD 14067 b,HD 14067,2744.0,nan,15.3,0.65,nan,4815.0,12.4,2.4
HIP 67851 b,HIP 67851,88.87622,nan,1.568,0.063,nan,nan,nan,1.9
HIP 67851 c,HIP 67851,3923.6609,nan,6.937,0.356,nan,nan,nan,1.9
HIP 97233 b,HIP 97233,1062.26506,nan,19.187,0.63,nan,nan,nan,1.81
WASP-94 A b,WASP-94 A,3.95019,1.58,0.5,0.0,nan,6170.0,1.48,1.67
WASP-94 B b,WASP-94 B,2.00839,nan,0.618,0.0,nan,6040.0,1.35,1.24
KIC 10001893 b,KIC 10001893,0.2197,nan,nan,nan,nan,27500.0,nan,nan
KIC 10001893 c,KIC 10001893,0.32528,nan,nan,nan,nan,27500.0,nan,nan
KIC 10001893 d,KIC 10001893,0.81161,nan,nan,nan,nan,27500.0,nan,nan
Kepler-424 c,Kepler-424,223.3,nan,6.97,nan,nan,5460.0,0.94,1.01
WASP-69 b,WASP-69,3.86814,1.11,0.29,0.0,nan,4700.0,0.86,0.98
WASP-70 A b,WASP-70 A,3.7130203,1.164,0.59,0.0,1387.0,5763.0,1.22,1.11
WASP-84 b,WASP-84,8.52349648,0.956,0.692,nan,732.0,nan,0.77,0.85
TYC 1422-614-1 b,TYC 1422-614-1,198.4,nan,2.5,0.06,nan,4806.0,6.85,1.15
TYC 1422-614-1 c,TYC 1422-614-1,559.3,nan,10.0,0.048,nan,4806.0,6.85,1.15
OGLE-2008-BLG-092L b,OGLE-2008-BLG-092L,nan,nan,0.18,nan,nan,nan,nan,0.71
Kepler-289 d,Kepler-289,66.0282,0.27,0.01677,nan,nan,5990.0,1.0,1.08
HD 5319 c,HD 5319,872.2,nan,1.053,0.183,nan,4871.0,4.06,1.27
HD 10442 b,HD 10442,1032.3,nan,1.487,0.132,nan,4912.0,1.97,1.01
HD 75784 b,HD 75784,341.2,nan,1.0,0.097,nan,4867.0,3.4,1.26
GJ 3293 b,GJ 3293,30.5987,nan,0.07406,0.06,nan,3466.0,0.4,0.42
GJ 3293 c,GJ 3293,122.6196,nan,0.06636,0.11,nan,3466.0,0.4,0.42
GJ 3341 b,GJ 3341,14.207,nan,0.0208,0.31,nan,3526.0,0.44,0.47
HIP 116454 b,HIP 116454,9.1004157,0.22,0.03052,0.215,753.2,5048.0,0.76,0.8
HD 564 b,HD 564,492.3,nan,0.33,0.096,nan,5902.0,1.01,0.96
HD 30669 b,HD 30669,1684.0,nan,0.47,0.18,nan,5400.0,0.91,0.92
Kepler-755 b,Kepler-755,1.26909037,0.157,nan,nan,nan,5043.0,0.77,0.82
HD 108341 b,HD 108341,1129.0,nan,3.5,0.85,nan,5122.0,0.79,0.84
HD 103720 b,HD 103720,4.5557,nan,0.62,0.086,nan,5017.0,0.73,0.79
BD-11 4672 b,BD-11 4672,1634.0,nan,0.65,0.05,nan,4550.0,0.64,0.65
OGLE-2013-BLG-0102L b,OGLE-2013-BLG-0102L,nan,nan,13.0,nan,nan,nan,nan,0.1
BD+49 828 b,BD+49 828,2590.0,nan,1.6,0.35,nan,4943.0,7.6,1.52
HD 145934 b,HD 145934,2751.53433,nan,2.072,0.078,nan,nan,nan,2.06
Kepler-445 d,Kepler-445,8.15275,0.11,nan,0.0,nan,3157.0,0.21,0.18
HD 95127 b,HD 95127,482.0,nan,10.63,0.11,nan,4218.0,41.01,3.7
HD 216536 b,HD 216536,148.60001,nan,1.05,0.38,nan,4639.0,9.83,0.81
OGLE-2014-BLG-0124L b,OGLE-2014-BLG-0124L,nan,nan,0.65,nan,nan,nan,nan,0.9
Kepler-1734 b,Kepler-1734,6.7968502,0.276,nan,nan,nan,6061.0,0.97,1.05
WASP-82 b,WASP-82,2.70579,1.62,1.17,0.0,nan,6480.0,2.1,1.48
K2-3 b,K2-3,10.0546535,0.185,0.01608,0.107,501.3,3844.0,0.55,0.55
K2-3 c,K2-3,24.646729,0.141,0.00843,0.048,371.8,3844.0,0.55,0.55
K2-3 d,K2-3,44.55603,0.13,0.00692,0.091,305.2,3844.0,0.55,0.55
OGLE-2011-BLG-0265L b,OGLE-2011-BLG-0265L,nan,nan,0.88,nan,nan,nan,nan,0.21
WASP-20 b,WASP-20,4.8996284,1.462,0.311,0.0,1379.0,5940.0,1.39,1.2
HD 1605 b,HD 1605,577.2,nan,0.934,0.095,nan,4915.0,3.49,1.33
HD 1605 c,HD 1605,2149.0,nan,3.62,0.099,nan,4915.0,3.49,1.33
HD 1666 b,HD 1666,270.0,nan,6.43,0.63,nan,6317.0,1.93,1.5
HD 67087 b,HD 67087,352.2,nan,3.06,0.17,nan,6330.0,1.55,1.36
Kepler-265 c,Kepler-265,17.028937,0.235,nan,nan,nan,5835.0,1.1,nan
HD 67087 c,HD 67087,2374.0,nan,4.85,0.76,nan,6330.0,1.55,1.36
CoRoT-28 b,CoRoT-28,5.20851,0.955,0.484,0.047,nan,5150.0,1.78,1.01
CoRoT-29 b,CoRoT-29,2.85057,0.9,0.85,0.082,nan,5260.0,0.9,0.97
HAT-P-54 b,HAT-P-54,3.799847,0.944,0.76,0.074,818.0,4390.0,0.62,0.65
HD 100546 b,HD 100546,nan,6.9,8.5,nan,nan,10500.0,nan,2.4
Kepler-432 c,Kepler-432,406.2,nan,2.43,0.498,nan,4995.0,4.06,1.32
HATS-6 b,HATS-6,3.3252725,0.998,0.319,0.0,712.8,3724.0,0.57,0.57
HD 7924 c,HD 7924,15.299,nan,0.02473,0.098,583.6,5075.0,0.78,0.83
HD 7924 d,HD 7924,24.451,nan,0.02026,0.21,499.0,5075.0,0.78,0.83
VHS J125601.92-125723.9 b,VHS J125601.92-125723.9,5800000.0,1.22,16.0,0.68,1194.0,nan,nan,nan
Kepler-756 b,Kepler-756,1.22486632,0.1,nan,nan,nan,5282.0,0.79,0.82
2MASS J02192210-3925225 b,2MASS J02192210-3925225,nan,1.44,13.9,nan,nan,3064.0,0.28,0.11
HATS-9 b,HATS-9,1.915291,1.236,nan,nan,1746.0,5599.0,1.56,1.1
HATS-10 b,HATS-10,3.312846,0.969,0.526,0.501,1407.0,5880.0,1.1,1.1
alf Tau b,alf Tau,628.96,nan,6.47,0.1,nan,4055.0,45.1,1.13
2MASS J19383260+4603591 b,2MASS J19383260+4603591,406.0,nan,1.86,0.33,nan,29564.0,0.2,0.48
MOA-2010-BLG-328L b,MOA-2010-BLG-328L,nan,nan,0.029,nan,nan,nan,nan,0.11
MOA-2011-BLG-262L b,MOA-2011-BLG-262L,nan,nan,0.053,nan,nan,nan,nan,0.11
HIP 65891 b,HIP 65891,1079.55726,nan,5.888,0.128,nan,nan,nan,2.49
HIP 107773 b,HIP 107773,144.3,nan,1.98,0.09,nan,4945.0,11.6,2.42
KELT-7 b,KELT-7,2.73477,1.6,1.39,0.0,nan,6768.0,1.81,1.76
HAT-P-55 b,HAT-P-55,3.5852313,1.324,0.596,nan,1367.0,5804.0,1.1,1.03
HATS-8 b,HATS-8,3.583893,0.873,0.138,0.376,1324.0,5679.0,1.09,1.06
WASP-74 b,WASP-74,2.13775,1.36,0.72,0.0,nan,5990.0,1.42,0.98
WASP-83 b,WASP-83,4.971252,1.04,0.3,0.0,1120.0,5510.0,1.05,1.11
WASP-89 b,WASP-89,3.3564227,1.04,5.9,0.193,1120.0,5130.0,0.88,0.92
K2-4 b,K2-4,10.003417,0.187,nan,0.08,nan,4014.73,0.57,0.64
K2-5 b,K2-5,5.73594,0.17,nan,nan,565.0,3930.0,0.57,0.61
K2-5 c,K2-5,10.93241,0.202,nan,nan,456.0,3930.0,0.57,0.61
K2-6 b,K2-6,30.94191,0.223,nan,nan,615.0,5850.0,0.96,0.97
K2-7 b,K2-7,28.6781,0.36,nan,0.24,786.0,5700.0,1.53,1.06
K2-8 b,K2-8,10.35239,0.319,nan,nan,631.0,4870.0,0.74,0.78
K2-9 b,K2-9,18.4498,0.201,nan,nan,314.0,3390.0,0.31,0.3
K2-19 b,K2-19,7.9222,0.624,0.10194,0.2,nan,5322.0,0.82,0.88
K2-19 c,K2-19,11.8993,0.366,0.03398,0.21,nan,5322.0,0.82,0.88
K2-10 b,K2-10,19.3044,0.343,0.08495,0.31,nan,5620.0,0.98,0.92
K2-11 b,K2-11,39.93767,0.674,nan,nan,734.0,5433.0,5.15,1.35
K2-12 b,K2-12,8.28246,0.218,0.01636,0.5,1026.0,5672.0,1.12,0.96
K2-13 b,K2-13,39.91488,0.169,nan,nan,511.0,5698.0,0.78,0.8
K2-14 b,K2-14,8.36802,0.429,nan,nan,488.0,3789.0,0.45,0.47
K2-15 b,K2-15,11.8104,0.221,nan,nan,676.0,5131.0,0.68,0.72
K2-16 b,K2-16,7.6188,0.18,nan,nan,658.0,4742.0,0.66,0.68
K2-16 c,K2-16,19.07863,0.227,nan,nan,485.0,4742.0,0.66,0.68
K2-17 b,K2-17,17.96753,0.199,nan,nan,487.0,4320.0,0.66,0.71
K2-18 b,K2-18,32.939623,0.211,0.02807,0.2,284.0,3457.0,0.41,0.36
HAT-P-56 b,HAT-P-56,2.79083,1.51,2.31,nan,nan,6566.0,1.47,1.42
HD 219134 b,HD 219134,3.092926,0.143,0.01491,0.0,1015.0,4699.0,0.78,0.81
HD 219134 c,HD 219134,6.76458,0.135,0.01372,0.062,782.0,4699.0,0.78,0.81
HD 219134 d,HD 219134,46.859,0.144,0.05088,0.138,410.5,4699.0,0.78,0.81
HATS-13 b,HATS-13,3.0440499,1.212,0.543,0.181,1244.0,5523.0,0.89,0.96
HATS-14 b,HATS-14,2.7667641,1.039,1.071,0.142,1276.0,5346.0,0.93,0.97
OGLE-2012-BLG-0563L b,OGLE-2012-BLG-0563L,nan,nan,0.39,nan,nan,nan,nan,0.34
51 Eri b,51 Eri,nan,nan,2.0,nan,700.0,nan,nan,1.75
KELT-8 b,KELT-8,3.24406,1.62,0.66,0.04,nan,5754.0,1.46,0.81
KELT-6 c,KELT-6,1276.0,nan,3.71,0.21,nan,6272.0,1.53,1.13
HD 164595 b,HD 164595,40.0,nan,0.05078,0.088,nan,5790.0,nan,0.99
K2-21 b,K2-21,9.325038,0.164,nan,0.1,nan,4222.06,0.65,0.68
K2-21 c,K2-21,15.50192,0.222,nan,0.21,nan,4222.06,0.65,0.68
K2-22 b,K2-22,0.381073,0.205,nan,nan,nan,3879.0,0.58,nan
WASP-47 c,WASP-47,589.57,nan,1.40642,0.264,nan,nan,1.16,1.06
WASP-47 d,WASP-47,9.030501,0.326,0.04877,0.001,nan,nan,1.16,1.06
WASP-47 e,WASP-47,0.78961,0.163,0.02832,0.0,nan,nan,1.16,1.06
WASP-41 c,WASP-41,421.0,nan,3.18,0.294,241.0,5545.0,0.87,0.93
HD 11755 b,HD 11755,433.70001,nan,5.63,0.19,nan,4312.0,20.58,0.72
HD 12648 b,HD 12648,133.60001,nan,1.96,0.04,nan,4835.0,11.02,0.67
HD 24064 b,HD 24064,535.59998,nan,12.89,0.35,nan,4052.0,40.0,1.61
8 UMi b,8 UMi,93.4,nan,1.31,0.06,nan,4847.0,10.3,1.44
Kepler-453 b,Kepler-453,240.503,0.553,0.05034,0.0359,nan,5527.0,0.83,0.94
HAT-P-57 b,HAT-P-57,2.4653,1.74,1.41,0.0,nan,6330.0,1.85,2.77
GJ 1132 b,GJ 1132,1.62892911,0.106,0.00578,0.0118,583.8,3229.0,0.22,0.19
Kepler-757 b,Kepler-757,1.02267882,0.121,nan,nan,nan,6014.0,1.13,1.08
HAT-P-50 b,HAT-P-50,3.1220109,1.288,1.35,0.115,1862.0,6280.0,1.7,1.27
HAT-P-51 b,HAT-P-51,4.21802091,1.205,0.307,nan,1168.2,5453.0,0.99,0.96
HAT-P-52 b,HAT-P-52,2.7535953,1.009,0.818,0.047,1218.0,5131.0,0.89,0.89
HAT-P-53 b,HAT-P-53,1.9616241,1.318,1.484,0.134,1778.0,5956.0,1.21,1.09
HD 175607 b,HD 175607,29.01,nan,0.02825,0.11,nan,5392.0,0.7,0.71
HD 219134 f,HD 219134,22.717,0.117,0.02297,0.148,522.6,4699.0,0.78,0.81
HD 219134 g,HD 219134,94.2,nan,0.034,0.0,nan,4913.0,0.77,0.79
HD 219134 h,HD 219134,2247.0,nan,0.34,0.06,nan,4913.0,0.77,0.79
WASP-135 b,WASP-135,1.4013794,1.3,1.9,0.0,nan,5675.0,0.96,0.98
LkCa 15 c,LkCa 15,nan,nan,nan,nan,nan,4194.0,1.61,nan
Kepler-758 b,Kepler-758,12.1097104,0.221,nan,nan,nan,6228.0,1.42,1.16
Kepler-454 c,Kepler-454,524.19,nan,4.51,0.0053,nan,5687.0,1.07,1.03
HD 95872 b,HD 95872,4375.0,nan,3.74,0.06,nan,5312.0,0.84,0.7
psi1 Dra B b,psi1 Dra B,3117.0,nan,1.53,0.4,nan,6212.0,nan,1.19
Wolf 1061 b,Wolf 1061,4.8869,nan,0.00601,0.15,nan,3342.0,0.31,0.29
