pl_name,hostname,pl_orbper,pl_radj,pl_bmassj,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass
Kepler-6 b,Kepler-6,3.2346996,1.304,0.668,nan,1460.0,5647.0,1.39,1.21
Kepler-491 b,Kepler-491,4.22538451,0.796,nan,nan,nan,5582.0,1.03,1.04
Kepler-257 b,Kepler-257,2.382667,0.233,nan,nan,nan,5180.0,1.04,nan
Kepler-216 b,Kepler-216,7.693641,0.21,nan,nan,nan,6091.0,1.26,nan
Kepler-32 c,Kepler-32,8.7522,0.178,0.5,nan,nan,3900.0,0.53,0.58
Kepler-259 c,Kepler-259,36.924931,0.241,nan,nan,nan,5938.0,0.9,nan
Kepler-148 c,Kepler-148,4.180043,0.321,nan,nan,nan,5272.0,0.85,nan
Kepler-222 d,Kepler-222,28.081912,0.329,nan,nan,nan,5433.0,0.87,nan
Kepler-29 c,Kepler-29,13.28613,0.209,0.01416,0.0,nan,5378.0,0.73,0.76
Kepler-179 b,Kepler-179,2.735926,0.146,nan,nan,nan,5302.0,0.76,nan
Kepler-165 c,Kepler-165,15.31299,0.199,nan,nan,nan,5211.0,0.77,nan
Kepler-228 c,Kepler-228,4.134444,0.241,nan,nan,nan,6043.0,1.01,nan
Kepler-20 c,Kepler-20,10.8540774,0.258,0.03492,0.076,828.0,5495.0,0.92,0.93
Kepler-166 d,Kepler-166,1.55400393,0.154,nan,nan,nan,5350.0,0.83,0.88
Kepler-52 b,Kepler-52,7.8773565,0.187,0.42476,nan,nan,4075.0,0.52,0.54
Kepler-197 d,Kepler-197,15.677563,0.109,nan,nan,nan,6004.0,1.12,nan
K2-183 d,K2-183,22.620344,0.205,nan,nan,nan,5482.0,0.87,nan
K2-187 e,K2-187,13.606629,0.17,nan,nan,nan,5438.0,0.83,nan
K2-187 c,K2-187,2.871512,0.125,nan,nan,nan,5438.0,0.83,nan
K2-270 b,K2-270,1.543069,0.123,nan,nan,1203.0,4877.0,0.77,0.85
Kepler-184 d,Kepler-184,29.022358,0.222,nan,nan,nan,5788.0,0.87,nan
Kepler-257 d,Kepler-257,24.664551,0.442,nan,nan,nan,5180.0,1.04,nan
K2-280 b,K2-280,19.89526,0.669,0.11673,0.35,787.0,5500.0,1.28,1.03
K2-381 c,K2-381,16.034656,0.178,nan,nan,nan,4473.0,0.68,0.75
Kepler-222 c,Kepler-222,10.08881,0.414,nan,nan,nan,5433.0,0.87,nan
HATS-36 b,HATS-36,4.175186,1.153,nan,nan,1203.0,5950.0,1.1,1.1
Kepler-229 b,Kepler-229,6.252972,0.196,nan,nan,nan,5120.0,0.73,nan
K2-222 b,K2-222,15.38857,0.21,0.02737,0.16,871.0,5942.0,1.11,0.99
K2-214 b,K2-214,8.596802,0.217,nan,nan,1006.0,5854.0,1.27,1.05
K2-220 b,K2-220,13.683256,0.213,nan,nan,758.0,5660.0,1.02,0.96
K2-216 b,K2-216,2.1748,0.156,0.02517,0.0,1103.0,4503.0,0.72,0.7
K2-212 b,K2-212,9.795647,0.236,nan,nan,nan,4349.0,0.68,0.62
Kepler-166 c,Kepler-166,34.260281,0.212,nan,nan,nan,5413.0,0.74,nan
K2-151 b,K2-151,3.835476,0.133,nan,nan,566.0,3695.0,0.45,0.47
K2-295 b,K2-295,4.024867,0.897,0.335,0.0,852.0,4444.0,0.7,0.74
K2-282 b,K2-282,4.169783,0.223,nan,nan,nan,5499.0,1.0,nan
K2-283 b,K2-283,1.921036,0.314,nan,nan,1186.0,5060.0,0.82,0.89
K2-281 b,K2-281,8.687721,0.73,nan,nan,665.0,4812.0,0.76,0.82
K2-387 b,K2-387,28.735327,0.653,nan,nan,nan,3572.0,0.58,0.57
Kepler-197 b,Kepler-197,5.599308,0.091,nan,nan,nan,6004.0,1.12,nan
K2-156 b,K2-156,0.813143,0.098,nan,nan,nan,4460.0,0.62,nan
K2-157 b,K2-157,0.365261,0.089,nan,nan,nan,5456.0,0.88,nan
K2-158 b,K2-158,10.06049,0.236,nan,nan,794.0,5503.0,0.95,0.92
K2-244 b,K2-244,21.06884,0.156,nan,nan,638.0,5677.0,0.92,0.86
Kepler-108 c,Kepler-108,190.323494,0.73,nan,nan,nan,5854.0,2.19,nan
K2-159 b,K2-159,12.42205,0.202,nan,nan,684.0,5425.0,0.83,0.9
K2-160 b,K2-160,3.705871,0.284,nan,nan,nan,5649.0,0.91,0.98
K2-161 b,K2-161,9.283188,0.546,nan,nan,nan,4972.0,2.57,0.99
K2-162 b,K2-162,9.45889,0.128,nan,nan,631.0,4842.0,0.69,0.75
K2-163 b,K2-163,6.673117,0.22,nan,nan,nan,4937.0,0.76,0.83
K2-165 b,K2-165,2.354992,0.114,nan,nan,nan,5185.0,0.8,0.83
K2-165 c,K2-165,4.382745,0.139,nan,nan,nan,5185.0,0.8,0.83
K2-165 d,K2-165,14.101361,0.236,nan,nan,nan,5185.0,0.8,0.83
Kepler-477 b,Kepler-477,11.11990653,0.185,nan,nan,nan,5240.0,0.79,0.87
Kepler-108 b,Kepler-108,49.183921,0.772,nan,nan,nan,5854.0,2.19,nan
EPIC 201595106 b,EPIC 201595106,0.877214,0.116,nan,nan,nan,5820.0,0.93,nan
K2-166 b,K2-166,8.52695,0.195,nan,nan,1140.0,5960.0,1.61,1.16
K2-175 b,K2-175,9.525988,0.182,nan,nan,nan,5909.0,1.42,1.09
K2-176 b,K2-176,5.329439,0.133,nan,nan,nan,5428.0,0.86,0.94
K2-177 b,K2-177,14.155185,0.189,nan,nan,nan,6063.0,1.21,1.21
K2-178 b,K2-178,8.747818,0.317,nan,nan,nan,5525.0,0.89,0.95
Kepler-9 d,Kepler-9,1.592851,0.146,nan,nan,2026.0,5777.0,1.02,1.07
K2-183 b,K2-183,0.469285,0.098,nan,nan,nan,5482.0,0.87,nan
K2-185 b,K2-185,10.616384,0.103,nan,nan,809.0,5788.0,0.94,0.96
K2-185 c,K2-185,52.713494,0.213,nan,nan,477.0,5788.0,0.94,0.96
K2-263 b,K2-263,50.818947,0.215,0.04688,0.15,470.0,5368.0,0.85,0.88
K2-186 b,K2-186,41.474219,0.283,nan,nan,nan,5784.0,0.98,1.02
K2-341 b,K2-341,36.552551,0.286,nan,nan,598.0,5817.0,1.16,0.98
K2-187 b,K2-187,0.77401,0.107,nan,nan,nan,5438.0,0.83,nan
K2-188 b,K2-188,1.742169,0.12,nan,nan,1692.0,5977.0,1.19,1.06
K2-189 b,K2-189,2.588309,0.136,nan,nan,1197.0,5519.0,0.87,0.94
K2-190 c,K2-190,21.574023,0.098,nan,nan,nan,5631.0,0.91,0.9
K2-195 c,K2-195,28.482786,0.23,nan,nan,nan,5712.0,0.91,0.96
K2-196 b,K2-196,48.324222,0.321,nan,nan,nan,6045.0,1.54,1.16
Kepler-42 b,Kepler-42,1.2137672,0.07,nan,nan,519.0,3068.0,0.17,0.13
K2-201 b,K2-201,1.05979,0.125,nan,nan,nan,5507.0,0.88,0.96
K2-201 c,K2-201,22.779878,0.293,nan,nan,nan,5507.0,0.88,0.96
K2-202 b,K2-202,3.405164,0.205,nan,nan,nan,5491.0,0.91,0.97
K2-381 b,K2-381,7.9389334,0.096,nan,nan,nan,4473.0,0.68,0.75
K2-381 d,K2-381,26.803023,0.151,nan,nan,nan,4473.0,0.68,0.75
K2-382 b,K2-382,21.700156,0.185,nan,nan,nan,5452.0,0.81,0.92
K2-383 b,K2-383,1.865962,0.14,nan,nan,nan,5129.0,0.8,1.06
K2-203 b,K2-203,9.6952,0.113,nan,0.23,738.4,5026.0,0.77,0.79
K2-204 b,K2-204,7.055908,0.283,nan,0.28,1148.0,5783.0,1.25,1.08
K2-205 b,K2-205,26.672263,0.178,nan,nan,nan,5890.0,1.08,0.95
K2-206 b,K2-206,18.294549,0.249,nan,nan,nan,5043.0,0.76,0.79
K2-207 b,K2-207,12.48749,0.232,nan,nan,nan,5522.0,0.93,0.94
K2-208 b,K2-208,4.19097,0.149,nan,0.37,1122.0,5500.0,0.87,0.88
K2-209 b,K2-209,2.080615,0.077,nan,nan,nan,4720.0,0.71,0.74
K2-210 b,K2-210,0.57023,0.077,nan,nan,nan,5500.0,0.89,nan
K2-211 b,K2-211,0.669561,0.119,nan,0.19,1873.0,5117.0,0.82,0.85
K2-213 b,K2-213,8.13087,0.135,nan,nan,nan,5794.0,1.2,1.07
K2-215 b,K2-215,8.269648,0.189,nan,nan,nan,5704.0,0.97,1.0
K2-217 b,K2-217,14.074524,0.319,nan,nan,nan,5967.0,1.33,1.1
K2-218 b,K2-218,8.679885,0.229,nan,nan,nan,5757.0,1.01,1.05
K2-219 b,K2-219,3.901287,0.12,nan,nan,nan,5753.0,1.19,1.02
K2-219 c,K2-219,6.66767,0.128,nan,nan,nan,5753.0,1.19,1.02
K2-219 d,K2-219,11.137278,0.23,nan,nan,nan,5753.0,1.19,1.02
K2-221 b,K2-221,2.399094,0.15,nan,nan,nan,5716.0,0.95,1.01
K2-223 b,K2-223,0.50557,0.079,nan,nan,nan,5859.0,1.0,nan
K2-223 c,K2-223,4.562546,0.134,nan,nan,nan,5859.0,1.0,nan
K2-224 b,K2-224,4.47904,0.139,nan,nan,1002.0,5620.0,0.84,0.91
K2-224 c,K2-224,10.09489,0.215,nan,nan,764.0,5620.0,0.84,0.91
K2-225 b,K2-225,15.8723,0.322,nan,0.23,923.0,5520.0,1.7,1.48
K2-226 b,K2-226,3.27109,0.137,nan,0.22,1187.0,5288.0,0.89,0.86
K2-227 b,K2-227,13.621832,0.149,nan,nan,nan,5673.0,0.89,0.95
K2-228 b,K2-228,2.69828,0.108,nan,nan,914.0,4715.0,0.65,0.71
K2-229 b,K2-229,0.584216,0.089,nan,nan,nan,5315.0,0.79,nan
K2-229 c,K2-229,8.32727,0.181,nan,nan,750.0,5315.0,0.79,0.87
K2-230 b,K2-230,2.86041,0.175,nan,nan,1529.0,5945.0,1.39,1.11
EPIC 229004835 b,EPIC 229004835,16.141132,0.208,0.03272,0.23,804.0,5868.0,1.0,0.97
K2-259 b,K2-259,15.48043,0.207,nan,nan,795.0,6059.0,1.13,1.14
K2-80 d,K2-80,28.867253,0.228,nan,nan,nan,5377.0,0.84,0.91
EPIC 228836835 b,EPIC 228836835,0.728113,0.098,nan,nan,nan,3782.0,0.32,nan
K2-331 c,K2-331,22.996591,0.243,nan,nan,673.0,5994.0,1.06,1.1
K2-333 b,K2-333,14.759287,0.551,nan,nan,826.0,5880.0,1.22,1.06
K2-334 b,K2-334,5.113981,0.504,nan,nan,1380.0,6502.0,1.49,1.36
K2-342 b,K2-342,11.561052,0.181,nan,nan,861.0,5920.0,1.09,1.01
K2-343 c,K2-343,7.676972,0.18,nan,nan,465.0,3804.0,0.46,0.49
K2-344 b,K2-344,3.35585,0.142,nan,nan,722.0,4374.0,0.49,0.51
K2-348 b,K2-348,4.688418,0.291,nan,nan,908.0,5077.0,0.85,0.83
K2-348 c,K2-348,12.550171,0.238,nan,nan,655.0,5077.0,0.85,0.83
K2-352 c,K2-352,8.234885,0.171,nan,nan,885.0,5791.0,0.95,0.98
K2-352 d,K2-352,14.871387,0.199,nan,nan,727.0,5791.0,0.95,0.98
G 9-40 b,G 9-40,5.7459982,0.17,0.01259,0.0,440.6,3395.0,0.3,0.3
HD 80653 b,HD 80653,0.719573,0.144,0.018,0.0,2463.0,5959.0,1.22,1.18
Kepler-21 b,Kepler-21,2.7858212,0.146,0.0236,0.0,2015.0,6305.0,1.9,1.41
Kepler-8 b,Kepler-8,3.5224991,1.416,0.59,nan,1680.0,6213.0,1.49,1.21
KOI-984 b,KOI-984,4.2881785,0.384,nan,0.12,1022.0,5295.0,0.82,0.93
Kepler-505 b,Kepler-505,27.52197994,0.232,nan,nan,nan,3931.0,0.53,0.55
Kepler-745 b,Kepler-745,9.93143556,0.193,nan,nan,nan,5849.0,1.04,1.04
Kepler-262 c,Kepler-262,21.853722,0.146,nan,nan,nan,5841.0,0.88,nan
Kepler-748 b,Kepler-748,7.40742793,0.225,nan,nan,nan,5934.0,1.1,1.07
Kepler-264 b,Kepler-264,40.806231,0.297,nan,nan,nan,6158.0,1.55,nan
HD 73344 b,HD 73344,15.611,0.257,0.03297,0.03,911.0,6252.6,1.22,1.2
Kepler-1732 b,Kepler-1732,32.31240082,0.366,nan,nan,nan,5821.0,1.49,1.04
Kepler-263 b,Kepler-263,16.568087,0.238,nan,nan,nan,5265.0,0.79,nan
Kepler-261 b,Kepler-261,10.381227,0.194,nan,nan,nan,5098.0,0.79,nan
K2-368 d,K2-368,20.201085,0.174,nan,nan,nan,4663.0,0.66,0.75
K2-368 c,K2-368,9.660186,0.121,nan,nan,nan,4663.0,0.66,0.75
Kepler-1733 b,Kepler-1733,9.22957993,0.324,nan,nan,nan,6320.0,1.25,1.27
Kepler-754 b,Kepler-754,14.5596237,0.179,nan,nan,nan,5935.0,1.08,1.06
K2-373 b,K2-373,11.02066,0.184,nan,nan,nan,6138.0,1.49,1.16
Kepler-753 b,Kepler-753,5.74772501,0.17,nan,nan,nan,4346.0,0.65,0.68
K2-339 b,K2-339,19.507428,0.171,nan,nan,508.0,4857.0,0.72,0.74
Kepler-752 b,Kepler-752,18.82747265,0.251,nan,nan,nan,5373.0,0.83,0.87
K2-343 b,K2-343,2.787174,0.147,nan,nan,653.0,3804.0,0.46,0.49
Kepler-766 b,Kepler-766,6.10027804,0.302,nan,nan,nan,5992.0,1.15,1.1
Kepler-771 b,Kepler-771,8.73485836,0.162,nan,nan,nan,5906.0,1.05,1.03
EPIC 212624936 c,EPIC 212624936,11.811437,0.205,nan,nan,nan,5765.0,0.93,nan
Kepler-773 b,Kepler-773,3.74910006,0.128,nan,nan,nan,5850.0,1.01,1.04
K2-379 b,K2-379,8.777247,0.195,nan,nan,nan,4603.0,0.75,0.86
K2-380 b,K2-380,9.401312,0.243,nan,nan,nan,5911.0,1.32,0.99
Kepler-767 b,Kepler-767,161.5280101,0.592,nan,nan,nan,5694.0,0.94,0.96
Kepler-260 b,Kepler-260,8.187399,0.179,nan,nan,nan,5250.0,0.86,nan
Kepler-268 b,Kepler-268,25.934138,0.227,nan,nan,nan,6081.0,1.27,nan
K2-384 f,K2-384,13.62749,0.198,nan,nan,nan,3623.0,0.35,0.33
K2-384 d,K2-384,6.679582,0.124,nan,nan,nan,3623.0,0.35,0.33
K2-384 c,K2-384,4.194766,0.106,nan,nan,nan,3623.0,0.35,0.33
K2-384 e,K2-384,9.715043,0.12,nan,nan,nan,3623.0,0.35,0.33
K2-385 b,K2-385,2.380867,0.137,nan,nan,nan,4844.0,0.76,0.93
Kepler-1736 b,Kepler-1736,37.81029892,0.346,nan,nan,nan,6085.0,0.97,0.98
K2-386 b,K2-386,7.473223,0.207,nan,nan,nan,5749.0,0.97,0.91
Kepler-774 b,Kepler-774,11.0895723,0.283,nan,nan,nan,6403.0,2.42,1.57
Kepler-772 b,Kepler-772,12.99207337,0.162,nan,nan,nan,5714.0,1.11,0.98
K2-268 d,K2-268,4.528598,0.133,nan,nan,888.0,5106.0,0.78,0.84
K2-268 f,K2-268,26.27057,0.199,nan,nan,492.0,5106.0,0.78,0.84
K2-268 e,K2-268,6.131243,0.119,nan,nan,801.0,5106.0,0.78,0.84
K2-393 b,K2-393,10.413181,0.21,nan,nan,nan,5678.0,1.07,0.88
K2-394 b,K2-394,5.095717,0.151,nan,nan,nan,4938.0,0.63,0.48
Kepler-119 b,Kepler-119,2.422082,0.321,nan,nan,nan,5595.0,0.84,nan
11 UMi b,11 UMi,516.21997,nan,14.74,0.08,nan,4213.0,29.79,2.78
14 And b,14 And,186.76,nan,3.559,0.0,nan,4888.0,11.55,1.78
14 Her b,14 Her,1765.0389,nan,8.053,0.373,nan,nan,nan,0.91
16 Cyg B b,16 Cyg B,798.5,nan,1.78,0.68,nan,5750.0,1.13,1.08
18 Del b,18 Del,982.85,nan,9.207,0.024,nan,4980.0,8.8,2.1
1RXS J160929.1-210524 b,1RXS J160929.1-210524,nan,nan,8.0,nan,1700.0,4060.0,nan,0.85
24 Sex b,24 Sex,452.8,nan,1.99,0.09,nan,5098.0,4.9,1.54
24 Sex c,24 Sex,883.0,nan,0.86,0.29,nan,5098.0,4.9,1.54
2MASS J12073346-3932539 b,2MASS J12073346-3932539,nan,nan,5.0,nan,1250.0,nan,nan,0.02
2MASS J04414489+2301513 b,2MASS J04414489+2301513,nan,nan,7.5,nan,nan,nan,nan,0.02
30 Ari B b,30 Ari B,335.10001,nan,13.82,0.29,nan,6331.0,1.41,1.93
42 Dra b,42 Dra,479.1,nan,3.88,0.38,nan,4200.0,22.03,0.98
47 UMa b,47 UMa,1078.0,nan,2.53,0.032,nan,5872.0,1.21,1.06
47 UMa c,47 UMa,2391.0,nan,0.54,0.098,nan,5872.0,1.21,1.06
47 UMa d,47 UMa,14002.0,nan,1.64,0.16,nan,5872.0,1.21,1.06
4 UMa b,4 UMa,270.27,nan,7.902,0.453,nan,4415.0,18.11,1.23
Kepler-770 b,Kepler-770,18.92540274,0.205,nan,nan,nan,5598.0,0.92,0.94
51 Peg b,51 Peg,4.230785,nan,0.472,0.013,nan,5758.0,1.18,1.03
55 Cnc b,55 Cnc,14.6516,nan,0.8036,0.0,nan,5172.0,0.94,0.91
55 Cnc c,55 Cnc,44.3989,nan,0.1611,0.03,nan,5172.0,0.94,0.91
55 Cnc d,55 Cnc,5574.2,nan,3.12,0.13,nan,5172.0,0.94,0.91
55 Cnc e,55 Cnc,0.7365474,0.167,0.02514,0.05,nan,5172.0,0.94,0.91
55 Cnc f,55 Cnc,259.88,nan,0.1503,0.08,nan,5172.0,0.94,0.91
61 Vir b,61 Vir,4.215,nan,0.016,0.12,nan,5577.0,0.96,0.94
61 Vir c,61 Vir,38.021,nan,0.057,0.14,nan,5577.0,0.96,0.94
61 Vir d,61 Vir,123.01,nan,0.072,0.35,nan,5577.0,0.96,0.94
6 Lyn b,6 Lyn,919.86,nan,1.881,0.042,nan,4941.0,4.94,1.32
70 Vir b,70 Vir,116.688,nan,7.416,0.3988,nan,5495.0,1.89,1.09
7 CMa b,7 CMa,735.1,nan,1.85,0.06,nan,4826.0,4.87,1.34
81 Cet b,81 Cet,1005.57,nan,3.307,0.037,nan,4734.0,11.21,1.23
AB Pic b,AB Pic,nan,nan,13.5,nan,nan,nan,nan,nan
BD-08 2823 b,BD-08 2823,5.6,nan,0.04,0.15,nan,4816.0,0.71,0.5
BD-08 2823 c,BD-08 2823,237.6,nan,0.33,0.19,nan,4746.0,nan,0.74
BD-10 3166 b,BD-10 3166,3.48777,nan,0.59,0.02,nan,5393.0,0.91,1.47
BD+14 4559 b,BD+14 4559,268.94,nan,1.04,0.29,nan,4864.0,0.86,0.49
BD-17 63 b,BD-17 63,655.57,nan,5.16,0.5439,nan,nan,nan,0.74
BD+20 2457 b,BD+20 2457,379.63,nan,21.42,0.15,nan,4137.0,49.0,2.8
BD+20 2457 c,BD+20 2457,621.99,nan,12.47,0.18,nan,4137.0,49.0,2.8
BD+48 738 b,BD+48 738,392.6,nan,0.91,0.2,nan,4414.0,11.0,0.74
bet Pic b,bet Pic,8617.50952,nan,11.729,0.106,nan,nan,nan,1.79
CoRoT-10 b,CoRoT-10,13.2406,0.97,2.75,0.53,600.0,5075.0,0.79,0.89
CoRoT-11 b,CoRoT-11,2.99433,1.43,2.33,0.0,1657.0,6440.0,1.37,1.27
CoRoT-12 b,CoRoT-12,2.828042,1.44,0.917,0.07,1442.0,5675.0,1.12,1.08
CoRoT-13 b,CoRoT-13,4.03519,0.885,1.308,0.0,1700.0,5945.0,1.01,1.09
CoRoT-14 b,CoRoT-14,1.51214,1.09,7.6,0.0,1952.0,6035.0,1.21,1.13
CoRoT-17 b,CoRoT-17,3.7681,1.02,2.43,0.0,1626.0,5740.0,1.59,1.04
CoRoT-18 b,CoRoT-18,1.9000693,1.31,3.47,0.08,1550.0,5440.0,1.0,0.95
CoRoT-19 b,CoRoT-19,3.89713,1.29,1.11,0.047,2000.0,6090.0,1.65,1.21
CoRoT-1 b,CoRoT-1,1.5089557,1.49,1.03,0.0,1898.0,5950.0,1.11,0.95
CoRoT-20 b,CoRoT-20,9.24285,nan,4.3,0.59,nan,nan,nan,1.14
CoRoT-23 b,CoRoT-23,3.6313,1.05,2.8,0.16,1660.0,5900.0,1.61,1.14
CoRoT-2 b,CoRoT-2,1.7429935,1.466,3.47,0.0143,nan,5625.0,0.91,0.96
CoRoT-3 b,CoRoT-3,4.2568,1.01,21.66,0.0,nan,6740.0,1.56,1.37
CoRoT-4 b,CoRoT-4,9.20205,1.19,0.72,0.0,1074.0,6190.0,1.17,1.16
CoRoT-5 b,CoRoT-5,4.0378962,1.388,0.467,0.09,1438.0,6100.0,1.19,1.0
CoRoT-6 b,CoRoT-6,8.886593,1.166,2.96,0.1,1017.0,6090.0,1.02,1.05
CoRoT-7 b,CoRoT-7,0.85359163,0.15,0.01283,0.0,nan,5275.0,0.83,0.82
Kepler-24 c,Kepler-24,12.33,0.224,0.03143,0.014,nan,6028.0,1.1,1.06
CoRoT-7 c,CoRoT-7,3.698,nan,0.02643,0.0,nan,5256.0,0.86,0.9
CoRoT-8 b,CoRoT-8,6.21229,0.57,0.22,0.0,nan,5080.0,0.77,0.88
CoRoT-9 b,CoRoT-9,95.272656,1.066,0.84,0.133,420.0,5625.0,0.96,0.96
CT Cha b,CT Cha,nan,2.2,17.0,nan,2600.0,nan,nan,nan
DP Leo b,DP Leo,10220.0,nan,6.05,0.39,nan,nan,nan,0.69
eps Eri b,eps Eri,2671.0,nan,0.66,0.07,nan,nan,nan,0.82
eps Tau b,eps Tau,585.82,nan,7.19,0.076,nan,4877.0,12.35,2.57
gam1 Leo b,gam1 Leo,428.5,nan,8.78,0.144,nan,4330.0,31.88,1.23
gam Cep b,gam Cep,913.0,nan,6.6,0.15,nan,4775.0,4.74,1.27
GJ 1214 b,GJ 1214,1.58040453,0.244,0.02646,0.0062,567.0,3101.0,0.22,0.18
GJ 3021 b,GJ 3021,133.71,nan,3.37,0.511,350.0,5540.0,0.9,0.9
GJ 317 b,GJ 317,695.66,nan,1.75282,0.07,nan,nan,nan,0.42
GJ 3634 b,GJ 3634,2.64561,nan,0.026,0.08,nan,nan,0.43,0.45
GJ 433 b,GJ 433,7.3705,nan,0.01901,0.04,nan,nan,nan,0.48
GJ 436 b,GJ 436,2.64388312,0.372,0.07,0.13827,nan,nan,0.46,0.47
GJ 649 b,GJ 649,600.1,nan,0.258,0.083,nan,3734.0,0.5,0.51
GJ 667 C b,GJ 667 C,7.203,nan,nan,0.2,nan,nan,nan,nan
GJ 667 C c,GJ 667 C,28.14,nan,0.012,0.02,nan,3350.0,nan,0.33
GJ 674 b,GJ 674,4.6938,nan,0.035,0.2,nan,3600.0,nan,0.35
GJ 676 A b,GJ 676 A,1051.44521,nan,5.792,0.319,nan,nan,nan,0.63
GJ 832 b,GJ 832,3853.0,nan,0.99,0.05,nan,nan,nan,0.45
GJ 849 b,GJ 849,1925.31,nan,0.893,0.029,nan,3467.0,0.45,0.45
GJ 179 b,GJ 179,2288.0,nan,0.82,0.21,nan,3370.0,0.38,0.36
GJ 581 b,GJ 581,5.3686,nan,0.0497,0.0,nan,3396.0,0.33,0.31
GJ 581 c,GJ 581,12.914,nan,0.0173,0.0,nan,3396.0,0.33,0.31
GJ 581 e,GJ 581,3.149,nan,0.0053,0.0,nan,3396.0,0.33,0.31
GJ 86 b,GJ 86,15.76491,nan,4.42,0.04,nan,5182.0,0.77,0.93
GJ 876 b,GJ 876,61.1166,nan,2.2756,0.0324,nan,nan,0.3,0.32
GJ 876 c,GJ 876,30.0881,nan,0.7142,0.25591,nan,nan,0.3,0.32
GJ 876 d,GJ 876,1.93778,nan,0.021,0.207,nan,nan,0.3,0.32
GJ 876 e,GJ 876,124.26,nan,0.046,0.055,nan,nan,0.3,0.32
GQ Lup b,GQ Lup,nan,3.0,20.0,nan,2650.0,nan,nan,0.7
GSC 06214-00210 b,GSC 06214-00210,nan,nan,16.0,nan,2300.0,4200.0,nan,0.9
HAT-P-12 b,HAT-P-12,3.2130598,0.959,0.211,0.0,963.0,4650.0,0.7,0.73
HAT-P-13 b,HAT-P-13,2.91625,1.272,0.851,0.0133,nan,nan,nan,nan
HAT-P-13 c,HAT-P-13,446.27,nan,14.28,0.6616,nan,nan,nan,nan
HAT-P-14 b,HAT-P-14,4.62767,1.42,3.44,0.11,nan,6600.0,1.82,2.65
HAT-P-15 b,HAT-P-15,10.8635,1.06,1.94,0.19,nan,5568.0,1.07,1.0
HAT-P-16 b,HAT-P-16,2.77596,1.289,4.193,0.036,1626.0,6158.0,1.24,1.22
HAT-P-17 b,HAT-P-17,10.33852,1.05,0.58,0.35,nan,5246.0,0.87,0.99
Kepler-123 b,Kepler-123,17.232366,0.262,nan,nan,nan,6089.0,1.26,nan
Kepler-769 b,Kepler-769,7.42608998,0.261,nan,nan,nan,6186.0,1.28,1.19
HAT-P-17 c,HAT-P-17,5584.0,nan,3.4,0.39,nan,5336.96,0.84,0.92
HAT-P-18 b,HAT-P-18,5.508023,0.995,0.197,0.084,852.0,4803.0,0.75,0.77
HAT-P-19 b,HAT-P-19,4.00878322,1.008,0.277,nan,981.2,4962.0,0.77,0.81
HAT-P-1 b,HAT-P-1,4.46529976,1.319,0.525,nan,1322.0,5980.0,1.17,1.15
HAT-P-20 b,HAT-P-20,2.875317,0.867,7.246,0.015,970.0,4595.0,0.69,0.76
HAT-P-21 b,HAT-P-21,4.12448,1.11,4.87,0.23,nan,5588.0,1.21,1.24
HAT-P-22 b,HAT-P-22,3.21222,1.15,2.47,0.02,nan,5302.0,1.11,1.13
HAT-P-23 b,HAT-P-23,1.212884,1.368,2.09,0.106,2056.0,5905.0,1.2,1.13
HAT-P-24 b,HAT-P-24,3.35524,1.3,0.75,0.07,nan,6373.0,1.38,1.37
HAT-P-25 b,HAT-P-25,3.65281514,1.135,0.569,0.023,1182.0,5519.0,0.92,1.01
HAT-P-26 b,HAT-P-26,4.23452,0.63,0.07,0.12,nan,5079.0,0.87,1.12
HAT-P-27 b,HAT-P-27,3.039577,1.02,0.62,0.0,nan,5316.0,0.86,0.92
HAT-P-28 b,HAT-P-28,3.257215,1.212,0.626,0.051,1384.0,5680.0,1.1,1.02
HAT-P-29 b,HAT-P-29,5.72319,1.17,0.88,0.09,nan,6087.0,1.3,1.45
HAT-P-2 b,HAT-P-2,5.6335158,nan,8.62,0.5172,nan,6380.0,1.39,1.33
HAT-P-30 b,HAT-P-30,2.8106,1.44,0.83,0.04,nan,6304.0,1.31,1.55
HAT-P-31 b,HAT-P-31,5.00542,1.09,2.27,0.25,nan,6065.0,1.39,1.31
HAT-P-32 b,HAT-P-32,2.1500082,1.98,0.68,0.159,1835.7,6001.0,1.37,1.13
HAT-P-33 b,HAT-P-33,3.47447,1.85,0.92,0.0,nan,6446.0,1.79,1.82
HAT-P-34 b,HAT-P-34,5.452654,1.197,3.33,0.432,nan,6442.0,1.53,1.39
Kepler-1735 b,Kepler-1735,7.71792984,0.107,nan,nan,nan,3975.0,0.51,0.54
HAT-P-35 b,HAT-P-35,3.646706,1.332,1.056,0.02,nan,6096.0,1.44,1.24
HAT-P-36 b,HAT-P-36,1.32734683,1.277,1.8482,nan,1780.97,5620.0,1.04,1.03
HAT-P-37 b,HAT-P-37,2.797436,1.178,1.169,0.058,1271.0,5500.0,0.88,0.93
HAT-P-3 b,HAT-P-3,2.8997,0.94,0.65,0.0,nan,5185.0,0.87,1.06
HAT-P-4 b,HAT-P-4,3.056536,1.274,0.671,0.0,1686.0,5860.0,nan,nan
HAT-P-5 b,HAT-P-5,2.78849,1.21,0.98,0.0,nan,5960.0,1.12,1.04
HAT-P-6 b,HAT-P-6,3.85298,1.48,1.32,0.0,nan,6570.0,1.62,1.79
