MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,PMRA,PMDEC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,SP_TYPE,FLUX_V,SCRIPT_NUMBER_ID
Kepler-90i,18 57 44.0383,+49 18 18.496,14,14,0.010,0.011,90,A,O,2020yCat.1350....0G,1.169,-4.350,-3.256,0.012,0.014,90,,,0
Kepler-1801c,19 40 39.3568,+39 12 05.075,14,14,0.015,0.016,90,A,O,2020yCat.1350....0G,1.161,4.066,-1.743,0.020,0.021,90,,,0
NAME NGC 2682 YBP 1194b,08 51 00.8052,+11 48 52.795,14,14,0.020,0.011,90,A,O,2020yCat.1350....0G,1.130,-10.813,-2.732,0.024,0.019,90,,,0
Kepler-326c,19 37 18.1337,+46 00 08.063,14,14,0.037,0.037,90,A,O,2020yCat.1350....0G,2.091,5.214,5.762,0.053,0.050,90,,,0
Kepler-758e,19 32 20.3082,+41 08 07.560,14,14,0.013,0.014,90,A,O,2020yCat.1350....0G,0.659,-1.071,-6.662,0.017,0.018,90,,,0
Kepler-304c,19 37 46.0342,+40 33 27.199,14,14,0.015,0.018,90,A,O,2020yCat.1350....0G,2.250,-1.123,-3.377,0.020,0.021,90,,,0
WASP-11c,03 09 28.5433,+30 40 24.862,14,14,0.054,0.043,90,A,O,2020yCat.1350....0G,7.700,3.334,-44.433,0.068,0.053,90,,,0
HD  38801b,05 47 59.1754,-08 19 39.720,14,14,0.016,0.015,90,A,O,2020yCat.1350....0G,11.029,-57.539,-75.556,0.021,0.019,90,,,0
K2-365b,15 55 16.7416,-21 01 36.766,14,14,0.020,0.013,90,A,O,2020yCat.1350....0G,5.333,-11.018,-20.774,0.026,0.017,90,,,0
K2-182b,08 40 43.2795,+10 58 58.599,14,14,0.025,0.012,90,A,O,2020yCat.1350....0G,6.471,-65.130,1.544,0.029,0.022,90,,,0
Kepler-1614b,18 59 29.1271,+49 46 33.185,14,14,0.025,0.027,90,A,O,2020yCat.1350....0G,0.827,3.935,0.407,0.036,0.035,90,,,0
Kepler-713b,19 42 36.3537,+43 01 47.323,14,14,0.019,0.020,90,A,O,2020yCat.1350....0G,0.927,-15.621,-7.908,0.029,0.028,90,,,0
HATS-67b,12 00 50.1182,-46 08 11.125,14,14,0.010,0.009,90,A,O,2020yCat.1350....0G,1.058,-6.055,0.866,0.013,0.012,90,,,0
K2-271b,08 20 53.7289,+16 05 27.400,14,14,0.016,0.010,90,A,O,2020yCat.1350....0G,1.841,9.805,-34.568,0.017,0.013,90,,,0
Kepler-407b,19 04 08.7180,+49 36 52.219,14,14,0.009,0.009,90,A,O,2020yCat.1350....0G,2.932,-3.428,-0.642,0.012,0.011,90,,,0
TOI-1909b,06 26 58.7140,-46 49 17.227,14,14,0.009,0.009,90,A,O,2020yCat.1350....0G,3.337,0.144,20.555,0.013,0.011,90,,,0
WASP-164b,22 59 29.6188,-60 26 52.113,14,14,0.008,0.010,90,A,O,2020yCat.1350....0G,3.066,20.179,-2.346,0.010,0.012,90,,,0
K2-409b,15 13 49.2034,-16 21 04.460,14,14,0.013,0.011,90,A,O,2020yCat.1350....0G,2.373,21.850,-13.341,0.016,0.013,90,,,0
HD 204313d,21 28 12.2060,-21 43 34.518,14,14,0.025,0.018,90,A,O,2020yCat.1350....0G,20.770,42.751,-270.443,0.039,0.025,90,,,0
Kepler-968c,19 02 24.6290,+50 06 43.313,14,14,0.013,0.014,90,A,O,2020yCat.1350....0G,3.453,-4.755,1.993,0.017,0.018,90,,,0
BD+10  1799e,08 26 27.8490,+10 04 49.334,14,14,0.018,0.012,90,A,O,2020yCat.1350....0G,9.436,-48.002,0.062,0.020,0.015,90,,,0
HD  33142c,05 07 35.5413,-13 59 11.336,14,14,0.013,0.013,90,A,O,2020yCat.1350....0G,8.272,-7.488,33.693,0.018,0.016,90,,,0
HATS-65b,19 31 45.5517,-26 44 24.724,14,14,0.012,0.012,90,A,O,2020yCat.1350....0G,2.019,-3.394,-0.230,0.014,0.012,90,,,0
Kepler-549c,18 52 05.4816,+47 15 40.215,14,14,0.014,0.015,90,A,O,2020yCat.1350....0G,1.565,1.996,-6.503,0.018,0.018,90,,,0
Kepler-1116b,19 27 44.0727,+44 06 55.905,14,14,0.017,0.020,90,A,O,2020yCat.1350....0G,0.997,3.502,-6.990,0.024,0.026,90,,,0
Kepler-1314b,19 36 57.0948,+45 11 50.268,14,14,0.090,0.101,90,A,O,2020yCat.1350....0G,7.008,-87.540,-109.037,0.117,0.114,90,,,0
Kepler-296d,19 06 09.6025,+49 26 14.396,14,14,0.509,0.558,90,A,O,2020yCat.1350....0G,4.554,2.635,-16.375,0.682,0.839,90,,,0
Kepler-991b,19 48 21.7557,+49 37 35.602,14,14,0.019,0.019,90,A,O,2020yCat.1350....0G,2.532,-14.265,-16.123,0.026,0.026,90,,,0
HD 190622b,20 08 27.3988,-54 19 02.756,14,14,0.012,0.011,90,A,O,2020yCat.1350....0G,11.230,1.640,-16.055,0.016,0.015,90,,,0
HD  42176b,06 10 39.3452,+30 57 25.713,14,14,0.019,0.015,90,A,O,2020yCat.1350....0G,7.433,16.726,-2.155,0.023,0.017,90,,,0
Kepler-1853b,18 58 59.4925,+46 22 24.824,14,14,0.018,0.018,90,A,O,2020yCat.1350....0G,1.755,-0.330,-4.862,0.023,0.023,90,,,0
Kepler-827b,19 39 51.8451,+42 42 30.832,14,14,0.026,0.028,90,A,O,2020yCat.1350....0G,0.431,-3.207,-0.879,0.035,0.040,90,,,0
Kepler-259b,19 12 50.8632,+46 36 54.066,14,14,0.018,0.021,90,A,O,2020yCat.1350....0G,0.988,6.421,6.436,0.023,0.025,90,,,0
TOI-2202c,03 24 54.8617,-73 57 27.263,14,14,0.018,0.017,90,A,O,2020yCat.1350....0G,4.226,-10.852,6.352,0.029,0.028,90,,,0
K2-203b,00 51 05.6972,-01 11 45.190,14,14,0.017,0.009,90,A,O,2020yCat.1350....0G,5.915,-11.103,0.450,0.021,0.020,90,,,0
Kepler-603c,19 37 07.4366,+42 17 27.394,14,14,0.030,0.032,90,A,O,2020yCat.1350....0G,0.545,-3.127,-3.085,0.039,0.039,90,,,0
HD  11755b,01 58 50.0870,+73 09 08.584,14,14,0.014,0.015,90,A,O,2020yCat.1350....0G,4.297,-57.890,-57.458,0.018,0.021,90,,,0
Kepler-1535b,19 06 27.2871,+38 53 31.020,14,14,0.011,0.013,90,A,O,2020yCat.1350....0G,1.148,-2.039,0.160,0.016,0.015,90,,,0
WASP-183b,10 55 09.3534,-00 44 13.812,14,14,0.015,0.015,90,A,O,2020yCat.1350....0G,3.123,-28.063,24.135,0.019,0.021,90,,,0
Kepler-1222b,19 39 33.5081,+49 22 47.150,14,14,0.012,0.014,90,A,O,2020yCat.1350....0G,2.410,-0.165,13.370,0.018,0.019,90,,,0
HD 206893c,21 45 21.9052,-12 47 00.060,14,14,0.027,0.023,90,A,O,2020yCat.1350....0G,24.527,94.112,-0.463,0.035,0.026,90,,,0
Kepler-769c,19 30 51.1448,+38 21 29.513,14,14,0.014,0.016,90,A,O,2020yCat.1350....0G,0.851,-1.994,-6.883,0.019,0.020,90,,,0
Kepler-1241b,19 38 18.2967,+38 27 25.187,14,14,0.019,0.022,90,A,O,2020yCat.1350....0G,1.049,-6.005,-8.751,0.026,0.027,90,,,0
Kepler-1117b,19 28 20.3498,+49 14 14.855,14,14,0.013,0.012,90,A,O,2020yCat.1350....0G,1.725,-0.690,-9.096,0.018,0.016,90,,,0
Kepler-1418b,18 51 59.4020,+41 40 42.919,14,14,0.271,0.232,90,A,O,2020yCat.1350....0G,1.855,4.832,0.293,0.365,0.304,90,,,0
Kepler-1140b,18 46 46.5602,+46 56 47.292,14,14,0.020,0.022,90,A,O,2020yCat.1350....0G,1.498,8.206,11.799,0.029,0.029,90,,,0
Kepler-1583b,19 05 32.8603,+47 00 59.848,14,14,0.010,0.011,90,A,O,2020yCat.1350....0G,2.456,2.424,-24.562,0.015,0.015,90,,,0
NGC  4349   127b,12 24 35.4709,-61 49 11.861,14,14,0.010,0.010,90,A,O,2020yCat.1350....0G,0.535,-7.848,-0.207,0.012,0.013,90,,,0
Kepler-144c,18 47 39.7572,+42 46 31.843,14,14,0.009,0.009,90,A,O,2020yCat.1350....0G,2.522,-7.192,9.593,0.011,0.012,90,,,0
Kepler-399d,19 58 00.4156,+40 40 14.889,14,14,0.074,0.079,90,A,O,2020yCat.1350....0G,1.106,-1.345,-8.267,0.098,0.104,90,,,0
Kepler-53b,19 21 50.8278,+40 33 44.887,14,14,0.021,0.021,90,A,O,2020yCat.1350....0G,0.699,1.782,6.493,0.029,0.029,90,,,0
HD 136418b,15 19 06.1820,+41 43 59.542,14,14,0.013,0.014,90,A,O,2020yCat.1350....0G,9.525,-19.906,-181.888,0.016,0.020,90,,,0
Kepler-726b,19 26 52.1550,+44 53 14.337,14,14,0.017,0.019,90,A,O,2020yCat.1350....0G,1.331,-5.815,7.139,0.024,0.023,90,,,0
HATS-64b,09 37 09.0300,-29 48 01.576,14,14,0.010,0.010,90,A,O,2020yCat.1350....0G,0.924,-3.233,-1.374,0.014,0.011,90,,,0
Kepler-54d,19 39 05.7418,+43 03 22.599,14,14,0.022,0.027,90,A,O,2020yCat.1350....0G,3.710,0.045,-18.609,0.029,0.033,90,,,0
Kepler-232c,19 43 15.8784,+51 07 18.195,14,14,0.021,0.020,90,A,O,2020yCat.1350....0G,0.727,0.943,0.921,0.027,0.025,90,,,0
Kepler-258c,19 36 16.4359,+46 34 45.350,14,14,0.016,0.019,90,A,O,2020yCat.1350....0G,1.740,-11.409,-29.827,0.022,0.021,90,,,0
Kepler-254c,19 12 39.5241,+45 48 59.394,14,14,0.025,0.028,90,A,O,2020yCat.1350....0G,0.741,-4.793,-16.918,0.033,0.035,90,,,0
Kepler-1825b,19 30 03.3535,+42 39 06.331,14,14,0.012,0.013,90,A,O,2020yCat.1350....0G,2.326,15.622,-0.786,0.016,0.017,90,,,0
Kepler-1729b,19 46 46.5517,+42 37 33.948,14,14,0.022,0.023,90,A,O,2020yCat.1350....0G,1.706,-3.876,4.129,0.029,0.029,90,,,0
Kepler-97c,19 09 18.3874,+48 40 24.368,14,14,0.014,0.015,90,A,O,2020yCat.1350....0G,2.502,-13.041,-21.239,0.018,0.020,90,,,0
HD 147506b,16 20 36.3576,+41 02 53.106,14,14,0.009,0.012,90,A,O,2020yCat.1350....0G,7.781,-10.078,-29.057,0.012,0.015,90,,,0
Kepler-1364b,19 40 36.5098,+49 35 15.485,14,14,0.105,0.117,90,A,O,2020yCat.1350....0G,0.975,0.572,-3.159,0.183,0.183,90,,,0
HD  33512b,05 09 02.4466,-36 27 52.415,14,14,0.009,0.011,90,A,O,2020yCat.1350....0G,7.995,-7.148,19.055,0.012,0.015,90,,,0
Kepler-1079b,19 58 11.8834,+45 46 11.066,10,10,39.000,30.000,90,B,O,2012yCat.1322....0Z,,2.000,-5.500,6.800,6.500,90,,,0
BD+39  2643b,13 25 07.9957,+38 55 20.944,14,14,0.007,0.008,90,A,O,2020yCat.1350....0G,23.480,-124.608,-27.300,0.008,0.009,90,,,0
MOA  2013-BLG-618b,17 52 30.370,-30 17 33.70,7,7,,,0,D,,,,,,,,0,,,0
Kepler-40b,19 47 15.2874,+47 31 35.665,14,14,0.015,0.015,90,A,O,2020yCat.1350....0G,0.455,-1.469,-6.768,0.022,0.020,90,,,0
Kepler-1581b,19 09 29.1033,+39 36 12.897,14,14,0.009,0.010,90,A,O,2020yCat.1350....0G,2.006,10.006,9.212,0.012,0.012,90,,,0
CoRoT-19b,06 28 08.0586,-00 10 14.532,14,14,0.015,0.017,90,A,O,2020yCat.1350....0G,1.190,4.750,-5.978,0.018,0.017,90,,,0
BD+60  1538b,14 26 05.7571,+59 26 39.289,14,14,0.011,0.011,90,A,O,2020yCat.1350....0G,3.161,-19.270,6.124,0.015,0.014,90,,,0
CD-47  2804e,07 06 13.9752,-47 35 13.872,14,14,0.010,0.009,90,A,O,2020yCat.1350....0G,21.093,135.928,-146.058,0.014,0.012,90,,,0
Kepler-625c,19 28 36.1086,+39 38 15.223,14,14,0.009,0.011,90,A,O,2020yCat.1350....0G,1.302,3.491,-8.519,0.011,0.013,90,,,0
CD-54   269b,01 14 34.1965,-53 56 31.610,14,14,0.011,0.011,90,A,O,2020yCat.1350....0G,60.098,103.454,310.993,0.014,0.015,90,,,0
Kepler-723b,18 59 19.3138,+44 39 29.330,14,14,0.075,0.084,90,A,O,2020yCat.1350....0G,0.756,-5.157,-12.616,0.096,0.113,90,,,0
Kepler-925b,19 20 25.5741,+40 29 26.309,14,14,0.024,0.026,90,A,O,2020yCat.1350....0G,1.619,-0.134,-4.056,0.030,0.030,90,,,0
CD-50   777b,02 39 35.4433,-50 00 28.879,14,14,0.009,0.010,90,A,O,2020yCat.1350....0G,6.244,-1.770,-39.806,0.011,0.012,90,,,0
Kepler-1977b,19 22 28.3045,+37 17 20.699,14,14,0.020,0.024,90,A,O,2020yCat.1350....0G,1.690,-14.185,3.963,0.026,0.029,90,,,0
HD  27631b,04 19 45.4692,-41 57 36.952,14,14,0.014,0.014,90,A,O,2020yCat.1350....0G,19.926,-41.139,-91.908,0.018,0.018,90,,,0
HD 222582b,23 41 51.5300,-05 59 08.729,14,14,0.022,0.018,90,A,O,2020yCat.1350....0G,23.796,-145.492,-111.458,0.029,0.021,90,,,0
* e Eri d,03 19 55.6509,-43 04 11.215,14,14,0.064,0.065,90,A,O,2020yCat.1350....0G,165.524,3035.017,726.964,0.081,0.101,90,,,0
Kepler-450c,19 41 56.7727,+51 00 48.582,14,14,0.014,0.015,90,A,O,2020yCat.1350....0G,2.076,4.210,6.644,0.018,0.021,90,,,0
* 109 Psc b,01 44 55.8255,+20 04 59.336,14,14,0.029,0.026,90,A,O,2020yCat.1350....0G,30.154,-43.357,-104.936,0.042,0.034,90,,,0
TOI-2136.01,18 44 42.3658,+36 33 44.530,14,14,0.014,0.016,90,A,O,2020yCat.1350....0G,29.976,-33.809,177.053,0.017,0.020,90,,,0
Kepler-150f,19 12 56.1835,+40 31 15.208,14,14,0.016,0.018,90,A,O,2020yCat.1350....0G,1.103,0.787,1.346,0.022,0.022,90,,,0
Kepler-1664b,19 07 24.6494,+49 15 42.056,10,10,24.000,18.000,90,B,O,2012yCat.1322....0Z,,-5.600,-1.000,2.100,2.400,90,,,0
HATS-54b,13 22 32.3724,-44 41 19.698,14,14,0.015,0.015,90,A,O,2020yCat.1350....0G,1.363,-3.499,-7.955,0.018,0.017,90,,,0
Kepler-1284b,19 25 06.9568,+47 41 15.590,14,14,0.023,0.023,90,A,O,2020yCat.1350....0G,1.135,-4.969,-20.324,0.030,0.033,90,,,0
Kepler-154b,19 19 07.3336,+49 53 47.550,14,14,0.014,0.015,90,A,O,2020yCat.1350....0G,1.069,-2.610,4.754,0.019,0.018,90,,,0
MOA  2012-BLG-6b,18 01 46.31,-29 06 31.6,6,6,,,0,D,,2016ApJ...833..145S,,,,,,0,,,0
Kepler-126d,19 17 23.3505,+44 12 30.709,14,14,0.011,0.013,90,A,O,2020yCat.1350....0G,4.326,11.553,-19.958,0.015,0.015,90,,,0
K2-314d,15 12 59.5618,-16 43 28.198,14,14,0.015,0.013,90,A,O,2020yCat.1350....0G,3.095,13.562,-34.322,0.020,0.017,90,,,0
Kepler-553c,19 54 12.2069,+48 19 56.700,14,14,0.017,0.018,90,A,O,2020yCat.1350....0G,1.341,4.607,28.720,0.023,0.024,90,,,0
MOA  2007-BLG-308b,17 56 25.96,-32 14 14.7,6,6,,,0,D,,2011Natur.473..349S,,,,,,0,,,0
HD 118203b,13 34 02.5393,+53 43 42.698,14,14,0.014,0.015,90,A,O,2020yCat.1350....0G,10.864,-85.849,-78.888,0.018,0.020,90,,,0
BD+20  2459c,10 17 06.6759,+19 33 30.435,14,14,0.017,0.022,90,A,O,2020yCat.1350....0G,1.337,-8.662,-11.004,0.021,0.027,90,,,0
Kepler-50b,19 12 24.2128,+50 02 01.374,14,14,0.015,0.016,90,A,O,2020yCat.1350....0G,3.965,6.626,-7.165,0.019,0.022,90,,,0
Kepler-1917b,19 36 24.9412,+45 00 05.079,14,14,0.024,0.023,90,A,O,2020yCat.1350....0G,1.143,-4.722,-13.429,0.033,0.030,90,,,0
EPIC 212420823.01,13 16 23.9317,-14 26 40.659,14,14,0.017,0.013,90,A,O,2020yCat.1350....0G,2.183,-13.705,-27.325,0.023,0.017,90,,,0
HD 217958b,23 04 32.8707,-25 41 27.994,14,14,0.025,0.027,90,A,O,2020yCat.1350....0G,16.127,-80.446,-154.725,0.028,0.032,90,,,0
Kepler-912b,19 52 26.6834,+41 45 30.020,14,14,0.018,0.020,90,A,O,2020yCat.1350....0G,0.450,-0.551,-3.477,0.022,0.024,90,,,0
HD 106315b,12 13 53.3962,-00 23 36.553,14,14,0.017,0.014,90,A,O,2020yCat.1350....0G,9.172,-2.360,11.943,0.026,0.019,90,,,0
Kepler-227b,19 27 44.2230,+48 08 29.961,14,14,0.019,0.021,90,A,O,2020yCat.1350....0G,0.918,1.886,4.650,0.025,0.025,90,,,0
* mu. Leo b,09 52 45.8170,+26 00 25.024,14,14,0.117,0.111,90,A,O,2020yCat.1350....0G,26.097,-216.266,-55.125,0.194,0.132,90,,,0
Kepler-183c,19 34 07.3975,+39 18 57.224,14,14,0.015,0.018,90,A,O,2020yCat.1350....0G,0.948,-2.165,8.650,0.021,0.021,90,,,0
* gam01 Leo b,10 19 58.3544,+19 50 29.359,10,10,19.000,16.000,90,B,O,2002A&A...384..180F,25.070,310.800,-152.900,1.100,0.700,90,,,0
Kepler-685b,19 35 29.2598,+38 25 22.609,14,14,0.015,0.020,90,A,O,2020yCat.1350....0G,1.044,-0.327,-6.666,0.020,0.023,90,,,0
Kepler-1130b,19 00 49.7878,+45 23 03.605,14,14,0.010,0.010,90,A,O,2020yCat.1350....0G,3.949,-4.599,-0.419,0.013,0.013,90,,,0
Kepler-909b,19 18 01.5284,+45 22 15.672,14,14,0.010,0.011,90,A,O,2020yCat.1350....0G,3.221,1.781,-11.034,0.013,0.015,90,,,0
HD   7924b,01 21 59.1137,+76 42 37.038,14,14,0.014,0.014,90,A,O,2020yCat.1350....0G,58.812,-34.767,-32.724,0.016,0.019,90,,,0
Kepler-1826b,19 31 04.7825,+48 53 58.695,14,14,0.022,0.025,90,A,O,2020yCat.1350....0G,2.967,12.165,48.598,0.031,0.032,90,,,0
CD-25  1737b,04 07 45.8606,-25 12 31.231,14,14,0.007,0.011,90,A,O,2020yCat.1350....0G,4.183,-5.768,-29.621,0.009,0.016,90,,,0
HD  95086b,10 57 03.0215,-68 40 02.449,14,14,0.016,0.016,90,A,O,2020yCat.1350....0G,11.566,-41.128,12.861,0.023,0.021,90,,,0
HD   5891b,01 00 33.1924,+20 17 32.953,14,14,0.024,0.020,90,A,O,2020yCat.1350....0G,3.583,3.241,-40.207,0.035,0.024,90,,,0
K2-8c,11 19 10.4814,-00 17 03.734,14,14,0.021,0.029,90,A,O,2020yCat.1350....0G,2.445,-35.974,-15.876,0.028,0.025,90,,,0
K2-53b,16 16 34.0355,-20 24 01.861,14,14,0.015,0.009,90,A,O,2020yCat.1350....0G,7.263,33.434,-18.890,0.017,0.013,90,,,0
BD-04  3197b,12 04 29.1381,-04 53 57.172,14,14,0.015,0.012,90,A,O,2020yCat.1350....0G,3.834,-61.786,18.295,0.026,0.015,90,,,0
K2-165c,12 19 36.0868,+00 58 06.201,14,14,0.022,0.016,90,A,O,2020yCat.1350....0G,7.619,29.281,-14.447,0.027,0.020,90,,,0
HD 196885b,20 39 51.8748,+11 14 58.700,14,14,0.020,0.015,90,A,O,2020yCat.1350....0G,29.408,71.915,89.318,0.032,0.026,90,,,0
Kepler-1598b,19 13 52.5832,+46 47 01.266,14,14,0.012,0.011,90,A,O,2020yCat.1350....0G,1.625,1.585,-8.985,0.015,0.015,90,,,0
Kepler-793b,19 40 51.9938,+38 46 27.671,14,14,0.033,0.038,90,A,O,2020yCat.1350....0G,1.075,16.707,17.111,0.045,0.046,90,,,0
K2-38c,16 00 08.0580,-23 11 21.329,14,14,0.022,0.012,90,A,O,2020yCat.1350....0G,5.247,-56.760,-37.511,0.029,0.016,90,,,0
K2-207b,00 46 47.9286,+00 38 26.901,14,14,0.017,0.010,90,A,O,2020yCat.1350....0G,2.722,-12.667,-43.588,0.023,0.022,90,,,0
NAME L 788-37b,22 13 42.8631,-17 41 08.670,14,14,0.031,0.028,90,A,O,2020yCat.1350....0G,97.676,856.646,-306.696,0.036,0.031,90,,,0
Kepler-11g,19 48 27.6226,+41 54 32.903,14,14,0.010,0.011,90,A,O,2020yCat.1350....0G,1.548,0.106,-7.103,0.013,0.015,90,,,0
KOI-3145.02,19 22 28.3045,+37 17 20.699,14,14,0.020,0.024,90,A,O,2020yCat.1350....0G,1.690,-14.185,3.963,0.026,0.029,90,,,0
Kepler-160b,19 11 05.6526,+42 52 09.472,14,14,0.013,0.015,90,A,O,2020yCat.1350....0G,1.064,3.477,-5.233,0.016,0.019,90,,,0
Kepler-1790b,19 38 16.0553,+46 04 32.904,14,14,0.011,0.013,90,A,O,2020yCat.1350....0G,0.925,-6.359,-17.542,0.015,0.017,90,,,0
Kepler-1895b,19 26 42.1483,+48 45 45.194,14,14,0.022,0.023,90,A,O,2020yCat.1350....0G,0.955,-2.678,-2.813,0.028,0.029,90,,,0
Kepler-636b,19 34 22.0533,+41 05 42.579,9,9,60.000,60.000,90,C,N,2003yCat.2246....0C,,,,,,0,,,0
Kepler-387b,19 11 11.5647,+45 39 24.240,14,14,0.011,0.012,90,A,O,2020yCat.1350....0G,1.221,13.562,7.476,0.015,0.015,90,,,0
HATS-19b,09 49 37.6184,-33 13 06.624,14,14,0.007,0.010,90,A,O,2020yCat.1350....0G,1.733,-8.478,0.983,0.009,0.010,90,,,0
K2-384e,01 21 59.8550,+00 45 04.411,14,14,0.032,0.023,90,A,O,2020yCat.1350....0G,12.217,103.139,-59.325,0.048,0.032,90,,,0
Kepler-788b,19 20 00.1030,+38 32 23.575,14,14,0.018,0.021,90,A,O,2020yCat.1350....0G,0.533,-2.572,-6.293,0.025,0.026,90,,,0
Kepler-728b,19 24 22.1633,+45 06 55.944,14,14,0.020,0.022,90,A,O,2020yCat.1350....0G,0.576,2.434,-7.295,0.027,0.028,90,,,0
Kepler-419b,19 41 40.2991,+51 11 05.168,14,14,0.012,0.013,90,A,O,2020yCat.1350....0G,0.993,-0.068,-1.423,0.016,0.016,90,,,0
K2-268e,08 54 50.2862,+11 50 53.774,14,14,0.014,0.007,90,A,O,2020yCat.1350....0G,3.073,-8.162,0.127,0.020,0.014,90,,,0
HD 143361b,16 01 50.3482,-44 26 04.343,14,14,0.017,0.010,90,A,O,2020yCat.1350....0G,14.546,-156.561,-120.231,0.019,0.014,90,,,0
K2-5c,11 17 12.8418,-01 52 40.687,14,14,0.020,0.020,90,A,O,2020yCat.1350....0G,4.962,-11.153,33.278,0.027,0.023,90,,,0
TOI-1224.02,02 28 46.4356,-80 53 57.200,14,14,0.017,0.017,90,A,O,2020yCat.1350....0G,26.827,159.965,27.171,0.022,0.022,90,,,0
HD  60532b,07 34 03.1805,-22 17 45.843,14,14,0.058,0.075,90,A,O,2020yCat.1350....0G,38.138,-40.180,46.791,0.091,0.115,90,,,0
HAT-P-28b,00 52 00.1876,+34 43 42.205,14,14,0.012,0.007,90,A,O,2020yCat.1350....0G,2.473,25.615,2.712,0.014,0.011,90,,,0
Kepler-464b,19 39 20.4361,+48 58 56.492,14,14,0.009,0.010,90,A,O,2020yCat.1350....0G,1.474,-6.941,-9.015,0.012,0.013,90,,,0
Kepler-1113b,19 17 37.6104,+39 20 19.769,14,14,0.014,0.018,90,A,O,2020yCat.1350....0G,0.920,-2.359,-2.755,0.019,0.021,90,,,0
HD 219134c,23 13 16.9749,+57 10 06.083,14,14,0.037,0.036,90,A,O,2020yCat.1350....0G,152.864,2074.414,294.452,0.050,0.043,90,,,0
CD-57  1712b,07 22 02.9952,-57 23 05.600,14,14,0.012,0.014,90,A,O,2020yCat.1350....0G,5.629,25.751,-25.314,0.016,0.019,90,,,0
Kepler-354d,19 03 00.3548,+41 20 08.296,14,14,0.021,0.022,90,A,O,2020yCat.1350....0G,1.833,9.775,8.320,0.027,0.028,90,,,0
NAME BD+37 4734Bb,22 57 46.8442,+38 40 30.358,14,14,0.009,0.010,90,A,O,2020yCat.1350....0G,6.244,32.422,-41.949,0.014,0.013,90,,,0
NAME KPS-TF3-663,11 00 40.1822,+64 57 50.341,14,14,0.009,0.010,90,A,O,2020yCat.1350....0G,3.794,-22.407,-32.177,0.011,0.013,90,,,0
Kepler-211b,19 01 45.3940,+43 10 06.527,14,14,0.010,0.011,90,A,O,2020yCat.1350....0G,3.242,-4.007,5.859,0.013,0.013,90,,,0
Kepler-24c,19 21 39.1857,+38 20 37.450,14,14,0.016,0.017,90,A,O,2020yCat.1350....0G,0.831,-2.153,-1.822,0.022,0.021,90,,,0
Kepler-557b,19 34 50.0233,+41 36 54.533,14,14,0.017,0.021,90,A,O,2020yCat.1350....0G,0.472,-2.200,-9.255,0.022,0.025,90,,,0
Kepler-1728b,19 08 22.5580,+39 03 38.735,14,14,0.016,0.017,90,A,O,2020yCat.1350....0G,1.515,2.285,4.730,0.021,0.022,90,,,0
EPIC 211357309.01,08 52 55.8284,+10 56 40.990,14,14,0.011,0.007,90,A,O,2020yCat.1350....0G,14.503,25.891,111.493,0.015,0.011,90,,,0
Kepler-51e,19 45 55.1428,+49 56 15.650,14,14,0.016,0.015,90,A,O,2020yCat.1350....0G,1.246,0.075,-7.451,0.020,0.019,90,,,0
Kepler-142b,19 40 28.5407,+48 28 52.654,14,14,0.008,0.010,90,A,O,2020yCat.1350....0G,1.789,13.412,16.408,0.011,0.012,90,,,0
Kepler-1365c,19 28 47.9324,+42 02 45.896,14,14,0.010,0.010,90,A,O,2020yCat.1350....0G,1.175,-10.542,-20.457,0.014,0.013,90,,,0
K2-42b,11 46 39.7706,-05 10 18.871,14,14,0.025,0.015,90,A,O,2020yCat.1350....0G,2.535,10.324,-31.963,0.028,0.017,90,,,0
TOI-125c,01 34 22.7341,-66 40 32.951,14,14,0.010,0.009,90,A,O,2020yCat.1350....0G,9.062,-119.550,-123.030,0.013,0.011,90,,,0
Kepler-1467b,19 40 11.6488,+45 20 33.661,14,14,0.021,0.023,90,A,O,2020yCat.1350....0G,1.161,0.354,-1.330,0.028,0.027,90,,,0
Kepler-103c,19 15 56.2939,+40 03 52.285,14,14,0.007,0.009,90,A,O,2020yCat.1350....0G,1.975,-1.216,-8.866,0.010,0.011,90,,,0
Kepler-1047c,19 14 35.1093,+50 47 20.425,14,14,0.014,0.014,90,A,O,2020yCat.1350....0G,1.202,-4.788,-9.876,0.018,0.018,90,,,0
BD+73   878b,19 44 58.6385,+74 03 45.855,14,14,0.009,0.011,90,A,O,2020yCat.1350....0G,15.142,18.690,27.871,0.012,0.013,90,,,0
Kepler-142c,19 40 28.5407,+48 28 52.654,14,14,0.008,0.010,90,A,O,2020yCat.1350....0G,1.789,13.412,16.408,0.011,0.012,90,,,0
Kepler-973b,19 20 39.6681,+49 55 25.945,14,14,0.048,0.049,90,A,O,2020yCat.1350....0G,3.019,5.413,-14.243,0.065,0.063,90,,,0
Kepler-460b,19 13 53.9653,+40 39 04.818,14,14,0.010,0.012,90,A,O,2020yCat.1350....0G,0.753,8.298,-12.492,0.013,0.015,90,,,0
