MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,PMRA,PMDEC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,SP_TYPE,FLUX_V,SCRIPT_NUMBER_ID
Kepler-1024b,19 27 48.2439,+38 15 05.968,14,14,0.026,0.027,90,A,O,2020yCat.1350....0G,0.948,2.040,-3.706,0.033,0.033,90,,,0
Kepler-920b,18 57 11.2749,+49 09 31.247,14,14,0.017,0.021,90,A,O,2020yCat.1350....0G,1.043,-6.460,-18.932,0.023,0.024,90,,,0
Kepler-234c,19 26 36.8454,+38 29 40.739,14,14,0.019,0.022,90,A,O,2020yCat.1350....0G,0.547,2.719,2.254,0.026,0.029,90,,,0
* rho CrB d,16 01 02.6604,+33 18 12.639,14,14,0.033,0.043,90,A,O,2020yCat.1350....0G,57.108,-198.278,-772.245,0.043,0.053,90,,,0
CD-23   395b,01 06 02.0495,-22 27 11.350,14,14,0.014,0.012,90,A,O,2020yCat.1350....0G,19.320,203.818,-106.926,0.025,0.032,90,,,0
HD 137496c,15 26 58.0705,-16 30 31.676,14,14,0.017,0.014,90,A,O,2020yCat.1350....0G,6.422,20.854,-46.988,0.021,0.017,90,,,0
HD 168443c,18 20 03.9332,-09 35 44.614,14,14,0.028,0.030,90,A,O,2020yCat.1350....0G,25.591,-91.792,-223.979,0.036,0.030,90,,,0
Kepler-55e,19 00 40.4013,+44 01 35.369,14,14,0.023,0.024,90,A,O,2020yCat.1350....0G,1.744,-1.664,-0.364,0.034,0.033,90,,,0
* bet Cnc b,08 16 30.9209,+09 11 07.958,14,14,0.231,0.139,90,A,O,2020yCat.1350....0G,10.103,-45.679,-49.505,0.308,0.192,90,,,0
HATS-74b,11 24 03.5928,-19 33 25.665,14,14,0.033,0.026,90,A,O,2020yCat.1350....0G,3.425,-38.992,39.578,0.043,0.034,90,,,0
Kepler-873b,19 45 36.7597,+51 16 16.798,14,14,0.015,0.018,90,A,O,2020yCat.1350....0G,0.808,-4.923,-12.913,0.021,0.022,90,,,0
HD  39474b,05 49 36.4133,-54 54 38.555,14,14,0.014,0.014,90,A,O,2020yCat.1350....0G,8.914,8.032,66.633,0.018,0.019,90,,,0
HD 205158b,21 35 40.5188,-59 41 35.513,14,14,0.025,0.025,90,A,O,2020yCat.1350....0G,11.386,-24.127,-26.981,0.028,0.035,90,,,0
HD  11506b,01 52 50.5344,-19 30 25.108,14,14,0.015,0.013,90,A,O,2020yCat.1350....0G,19.534,22.039,-97.904,0.022,0.016,90,,,0
Kepler-898b,19 06 20.4941,+46 52 15.348,14,14,0.026,0.025,90,A,O,2020yCat.1350....0G,2.069,3.097,-9.877,0.036,0.032,90,,,0
Kepler-1017b,18 53 52.6406,+40 07 57.306,14,14,0.011,0.012,90,A,O,2020yCat.1350....0G,1.812,-6.610,-15.490,0.014,0.015,90,,,0
KMT-2016-BLG-1107b,17 45 40.260,-26 01 54.48,7,7,,,0,D,,2018AJ....156..226H,,,,,,0,,,0
Kepler-205b,19 01 08.9065,+41 51 40.168,14,14,0.009,0.010,90,A,O,2020yCat.1350....0G,6.266,-72.574,-51.613,0.012,0.013,90,,,0
Kepler-286d,19 22 42.2833,+48 17 39.218,14,14,0.043,0.047,90,A,O,2020yCat.1350....0G,0.795,1.024,2.033,0.062,0.065,90,,,0
BD+73   878c,19 44 58.6385,+74 03 45.855,14,14,0.009,0.011,90,A,O,2020yCat.1350....0G,15.142,18.690,27.871,0.012,0.013,90,,,0
Kepler-1038b,19 55 53.3290,+44 07 56.566,14,14,0.016,0.016,90,A,O,2020yCat.1350....0G,1.749,-9.514,-6.886,0.021,0.021,90,,,0
Kepler-1815b,20 00 40.9168,+43 59 05.837,14,14,0.020,0.021,90,A,O,2020yCat.1350....0G,1.043,-2.461,-11.627,0.028,0.027,90,,,0
Kepler-1162b,18 53 10.1064,+45 26 02.709,14,14,0.020,0.022,90,A,O,2020yCat.1350....0G,1.076,-13.516,-24.304,0.027,0.030,90,,,0
NAME G 268-38b,00 44 59.3309,-15 16 17.542,14,14,0.036,0.022,90,A,O,2020yCat.1350....0G,66.829,318.152,-596.623,0.049,0.054,90,,,0
KMT-2015-BLG-0048b,17 58 39.01,-28 01 54.1,6,6,,,0,D,,2016AJ....152...95H,,,,,,0,,,0
HD 204941b,21 32 23.5097,-20 57 26.718,14,14,0.020,0.018,90,A,O,2020yCat.1350....0G,34.883,-278.868,-124.315,0.027,0.020,90,,,0
NAME G 139-21b,17 15 18.9339,+04 57 50.066,14,14,0.046,0.038,90,A,O,2020yCat.1350....0G,68.299,580.202,-749.713,0.059,0.047,90,,,0
MOA  2016-BLG-339b,18 12 49.0702,-27 00 45.565,14,14,1.009,0.795,90,C,O,2020yCat.1350....0G,,,,,,0,,,0
Kepler-1541b,18 55 08.8788,+48 01 46.503,14,14,0.010,0.011,90,A,O,2020yCat.1350....0G,2.393,14.346,4.084,0.013,0.014,90,,,0
Kepler-445c,19 54 56.6592,+46 29 54.793,14,14,0.038,0.044,90,A,O,2020yCat.1350....0G,8.137,41.465,132.351,0.050,0.053,90,,,0
HD  40307g,05 54 04.2405,-60 01 24.493,14,14,0.016,0.017,90,A,O,2020yCat.1350....0G,77.326,-52.174,-60.059,0.023,0.025,90,,,0
Kepler-124c,19 07 00.6695,+49 03 53.578,14,14,0.012,0.013,90,A,O,2020yCat.1350....0G,2.366,-8.776,-0.928,0.015,0.016,90,,,0
CD-26  2288d,05 33 04.6005,-26 43 28.268,14,14,0.009,0.012,90,A,O,2020yCat.1350....0G,30.652,16.886,150.779,0.012,0.015,90,,,0
Kepler-340b,19 43 44.0327,+40 18 02.006,14,14,0.011,0.012,90,A,O,2020yCat.1350....0G,1.159,0.182,-1.348,0.014,0.015,90,,,0
Kepler-1032b,19 19 43.4040,+40 05 51.840,14,14,0.062,0.074,90,A,O,2018yCat.1345....0G,1.462,4.934,-5.215,0.128,0.126,90,,,0
HD 219134f,23 13 16.9749,+57 10 06.083,14,14,0.037,0.036,90,A,O,2020yCat.1350....0G,152.864,2074.414,294.452,0.050,0.043,90,,,0
