source_id,ra,dec,parallax,pmra,pmdec
5937081628637185536,251.61038170738217,-51.601410429545744,1.4179085632553352,-2.095058542947587,-0.7462479252440131
5937081628637211520,251.60781611690084,-51.60337626581146,0.9452324856510461,0.7845430831647309,-4.875735891208857
5937081628637239040,251.60753299436865,-51.59734225759837,,,
5937081628645736448,251.5942669160031,-51.58956332984478,,,
5937081658613728000,251.58207765266457,-51.591155839853016,0.3819997135484076,-5.3502114033584025,-3.276386134791955
5937081658615309312,251.58807866286938,-51.60125323148104,-0.5709025031925689,-2.775436222552192,-4.1633149235973566
5937081658615314176,251.57627207740921,-51.59791733252461,1.1250592490831004,-12.136825763040306,-11.88597544390877
5937081658615318784,251.56600226818202,-51.59593261073774,-3.1575342973123735,-9.566103618399497,-13.721352223847612
5937081658615322240,251.58887015094163,-51.59569015090809,-0.19845533725346143,-3.7822459755105915,-6.031756293568468
5937081658615324544,251.58719237544338,-51.59393662686315,0.3781146772625545,-3.0962585933252713,-3.3397507337919112
5937081658615328768,251.57770632324232,-51.592490646659115,0.5356335607105138,-5.896680958789165,-9.508838549086175
5937081658615333504,251.5712654444468,-51.588728168960586,0.32203942859518037,-5.128638238845362,-6.531512075625808
5937081658615339392,251.57474368146043,-51.58591952432961,0.21998070447846857,-3.896234339750953,-5.305106667707944
5937081658622144000,251.58932291043126,-51.5973519898228,0.4214319944250614,-2.84848046595163,-8.523368770115555
5937081658638044416,251.56650604107867,-51.589869040035644,-0.08326382262665731,-3.163335295214295,-4.957595959532915
5937173575221088640,250.19188107869135,-51.55996855164407,,,
5937173575221785088,250.19288377250018,-51.56092387691949,,,
5937173575221787520,250.19408159308978,-51.56383035513911,2.1024590076315763,-4.465412699702567,-6.398580409099967
5937173575221790720,250.19277111339215,-51.56746922362345,,,
5937173575221791232,250.20284310237983,-51.56602430418784,0.020761039688505192,-9.028488936171652,-9.792827815401013
5937173575221794560,250.19182044402757,-51.571624377164774,,,
5937173575221796224,250.2042395186421,-51.57114992229854,,,
5937173575221798784,250.20011629459188,-51.576014407847225,,,
5937173575221799168,250.20354052634235,-51.57550143833517,-0.19626287920060617,-4.9754898764305935,-3.9807883652583262
5937173575221801088,250.20501076152007,-51.5783128540923,-0.12139509503775484,-3.0343234881535768,-1.355584769299476
5937173575222019840,250.19666642779694,-51.5636059250963,,,
5937173575224139008,250.20931389110845,-51.56891333662909,,,
5937173575285341696,250.2049827487846,-51.57752752721888,0.11122446735801744,0.23495235718817542,-1.6761464091422735
5937173575285345408,250.20829016464467,-51.574488925156516,0.03928550284482707,-4.436232450837522,-4.415957979666224
5937173575285353088,250.19765320142406,-51.57452221213978,0.004312523873052927,-2.986108496569213,-6.763970160487482
5937173575285356416,250.2013968444111,-51.570612969303895,-0.35842920335573347,-4.683623517481719,-4.72801097323526
5937173575285359232,250.1996264242772,-51.56948586585763,0.21651564856240407,-2.7444200019244116,-7.659722839407266
5937201440984931712,250.57084873984942,-51.276535271332754,,,
5937201440984937216,250.56902522260995,-51.27630886532718,0.696491408010751,-2.6320731883483584,-4.039453557572158
5937201440984939136,250.56819766559295,-51.27596763492763,,,
5937201440984939264,250.56804346950372,-51.276315609807554,-0.17784744186178297,-0.21214757083303712,0.6500906603813228
5937201440984943104,250.57026966123132,-51.275445710582865,-0.003671984459211214,-1.158145058376627,-4.165887849447492
5937201440984944640,250.56524706450617,-51.27577680221214,,,
5937201440984944768,250.56582698638957,-51.27601198545632,-0.4247946365567335,-3.0233544983627105,-5.929854134788018
5937201440984945024,250.5667074170547,-51.27553407430216,0.8475474734500605,2.3004378573553903,-0.9889871434332765
5937201440984945152,250.566993157067,-51.275765340205965,0.3608035488299556,-4.4199313896800785,-4.950650896678975
5937201440984953344,250.56338767080248,-51.27554025081392,,,
5937201440984953856,250.57265542679792,-51.274003583291126,0.4694661895164147,-5.540119243946965,-7.3071843488906065
5937201440984959232,250.5691221736199,-51.274149846774534,0.584177966708546,-3.9474532156963464,-4.381141049496872
5937201440984960000,250.56458508042112,-51.27472711197574,,,
5937201440984964736,250.57003440343507,-51.27334863205659,,,
5937201440984964864,250.569561936713,-51.27333059950861,,,
5937201440984966400,250.5724867970275,-51.272664975495985,0.421311998355516,-1.4589062927415366,-2.243518637952529
5937201440984966784,250.5738066092884,-51.272364834595926,-0.33358738346413497,-4.445816262247714,-4.383379329131982
5937144575621775616,251.5019701421168,-50.74857447627186,0.15408837691770308,-2.526128611926429,-8.085297174751293
5937144575621782400,251.4980017938142,-50.74962989770191,,,
5937144575621785472,251.49893476581144,-50.748672700273374,-0.10750905728612321,-2.003717578628301,-4.982336651165473
5937144575621787392,251.5086457613762,-50.74315589896196,0.28459606421835143,-2.2884463241989965,-2.6742338159525745
